sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r04-o14-gcc13_scalar-36864,4,gcc13_scalar,36864,21702,200005632,539707700,8675,8675,1184617175,800022811,1184617170,539734224,539734224,1
r04-o15-gcc13_auto-8388608,4,gcc13_auto,8388608,8,16777216,709143229,688651,688651,1556515370,67109147,1556515378,709178209,709178209,1
r04-o16-clang18_scalar-6291456,4,clang18_scalar,6291456,13,20447232,602226132,161020,161020,1321843842,28116096,1321843864,602259409,602259409,1
r04-o17-clang18_scalar-536870912,4,clang18_scalar,536870912,1,134217728,13807706865,10873113,10873113,30306776567,184550528,30306776588,13807742381,13807742381,1
r04-o18-clang18_scalar-32768,4,clang18_scalar,32768,36622,300007424,702559373,6888,6888,1542064934,412511360,1542064898,702587431,702587431,1
r04-o19-clang18_auto-262144,4,clang18_auto,262144,1221,80019456,490098030,63890,63890,1075730090,110027904,1075730084,490125947,490125947,1
r04-o20-gcc13_scalar-6291456,4,gcc13_scalar,6291456,13,20447232,662354974,161020,161020,1453818832,81789211,1453818850,662387018,662387018,1
r04-o21-gcc13_auto-1048576,4,gcc13_auto,1048576,153,40108032,653603789,220523,220523,1434610429,160432411,1434610430,653631480,653631480,1
r04-o22-clang18_auto-36864,4,clang18_auto,36864,21702,200005632,550713792,8675,8675,1208776625,275008896,1208776624,550741620,550741620,1
r04-o23-clang18_scalar-8388608,4,clang18_scalar,8388608,8,16777216,734548048,688651,688651,1612279102,23069824,1612279086,734580930,734580930,1
r04-o24-clang18_auto-6291456,4,clang18_auto,6291456,13,20447232,810764544,161020,161020,1779567679,28116096,1779567658,810800858,810800858,1
r04-o25-gcc13_scalar-32768,4,gcc13_scalar,32768,36622,300007424,684563020,6888,6888,1502562638,1200029979,1502562644,684589996,684589996,1
r04-o26-clang18_scalar-1048576,4,clang18_scalar,1048576,153,40108032,656679953,220523,220523,1441363837,55149696,1441363836,656708438,656708438,1
r04-o27-clang18_scalar-36864,4,clang18_scalar,36864,21702,200005632,550961446,8675,8675,1209320299,275008896,1209320288,550989127,550989127,1
r04-o28-gcc13_scalar-8388608,4,gcc13_scalar,8388608,8,16777216,788273896,688651,688651,1730200404,67109147,1730200406,788307071,788307071,1
r05-o01-clang18_scalar-6291456,5,clang18_scalar,6291456,13,20447232,646231316,161020,161020,1418430617,28116096,1418430640,646265180,646265180,1
r05-o02-gcc13_scalar-536870912,5,gcc13_scalar,536870912,1,134217728,13105843555,10873113,10873113,28766242277,536871195,28766242340,13105877146,13105877146,1
r05-o03-clang18_auto-6291456,5,clang18_auto,6291456,13,20447232,636467324,161020,161020,1397000791,28116096,1397000792,636504136,636504136,1
r05-o04-clang18_auto-536870912,5,clang18_auto,536870912,1,134217728,13181928071,10873113,10873113,28933192854,184550530,28933192860,13181961242,13181961242,1
r05-o05-clang18_auto-1048576,5,clang18_auto,1048576,153,40108032,661014942,220523,220523,1449783501,55149708,1449783500,660663525,660663525,1
r05-o06-gcc13_scalar-32768,5,gcc13_scalar,32768,36622,300007424,684397523,6888,6888,1502199261,1200029979,1502199270,684424072,684424072,1
r05-o07-gcc13_scalar-8388608,5,gcc13_scalar,8388608,8,16777216,718813503,688651,688651,1577740862,67109147,1577740846,718846511,718846511,1
r05-o08-clang18_auto-8388608,5,clang18_auto,8388608,8,16777216,744733932,688651,688651,1634637195,23069824,1634637180,744771025,744771025,1
r05-o09-gcc13_auto-36864,5,gcc13_auto,36864,21702,200005632,539606866,8675,8675,1184395617,800022811,1184395608,539631169,539631169,1
r05-o10-clang18_scalar-8388608,5,clang18_scalar,8388608,8,16777216,669570869,688651,688651,1469659294,23069824,1469659312,669605072,669605072,1
r05-o11-gcc13_scalar-262144,5,gcc13_scalar,262144,1221,80019456,482743107,63890,63890,1059584757,320078107,1059584768,482770434,482770434,1
r05-o12-gcc13_auto-8388608,5,gcc13_auto,8388608,8,16777216,669133700,688651,688651,1468698131,67109147,1468698132,669169555,669169555,1
r05-o13-clang18_scalar-262144,5,clang18_scalar,262144,1221,80019456,530114774,63890,63890,1163562649,110027904,1163562642,530140112,530140112,1
