round,sample_id,language,footprint_bytes,passes,shuffle_key
2,r02-o20-go-536870912,go,536870912,4,1529547455
2,r02-o21-rust-6291456,rust,6291456,342,1534275501
2,r02-o22-cpp-262144,cpp,262144,8192,1614637093
2,r02-o23-go-1048576,go,1048576,2048,1617795292
2,r02-o24-go-36864,go,36864,58255,1664863416
2,r02-o25-rust-1048576,rust,1048576,2048,1676922353
2,r02-o26-cpp-8388608,cpp,8388608,256,1720212743
2,r02-o27-rust-8388608,rust,8388608,256,1786622451
2,r02-o28-cpp-6291456,cpp,6291456,342,1914620383
3,r03-o01-rust-36864,rust,36864,58255,0042788437
3,r03-o02-cpp-536870912,cpp,536870912,4,0061055796
3,r03-o03-cpp-262144,cpp,262144,8192,0144762296
3,r03-o04-cpp-6291456,cpp,6291456,342,0217286104
3,r03-o05-rust-6291456,rust,6291456,342,0307394236
3,r03-o06-cpp-36864,cpp,36864,58255,0570248973
3,r03-o07-rust-8388608,rust,8388608,256,0699107283
3,r03-o08-rust-536870912,rust,536870912,4,0876765032
3,r03-o09-c-32768,c,32768,65536,1043014102
3,r03-o10-c-536870912,c,536870912,4,1046983514
3,r03-o11-go-8388608,go,8388608,256,1049628735
3,r03-o12-c-36864,c,36864,58255,1056069629
3,r03-o13-go-262144,go,262144,8192,1229465700
3,r03-o14-rust-32768,rust,32768,65536,1254680167
3,r03-o15-go-6291456,go,6291456,342,1262648833
3,r03-o16-c-262144,c,262144,8192,1273740943
3,r03-o17-cpp-1048576,cpp,1048576,2048,1307630887
3,r03-o18-go-32768,go,32768,65536,1332528563
3,r03-o19-cpp-8388608,cpp,8388608,256,1456331468
3,r03-o20-c-6291456,c,6291456,342,1483859602
3,r03-o21-c-8388608,c,8388608,256,1588432236
3,r03-o22-go-36864,go,36864,58255,1708857660
3,r03-o23-cpp-32768,cpp,32768,65536,1727097374
3,r03-o24-rust-1048576,rust,1048576,2048,1811193753
3,r03-o25-c-1048576,c,1048576,2048,1828219855
3,r03-o26-go-536870912,go,536870912,4,1864628243
3,r03-o27-go-1048576,go,1048576,2048,1926898046
3,r03-o28-rust-262144,rust,262144,8192,2056486525
4,r04-o01-go-536870912,go,536870912,4,0052225384
4,r04-o02-go-1048576,go,1048576,2048,0088517153
4,r04-o03-cpp-32768,cpp,32768,65536,0359937018
4,r04-o04-go-32768,go,32768,65536,0382131370
4,r04-o05-c-1048576,c,1048576,2048,0397221299
4,r04-o06-rust-262144,rust,262144,8192,0442373771
4,r04-o07-c-536870912,c,536870912,4,0583702588
4,r04-o08-cpp-36864,cpp,36864,58255,0613442578
4,r04-o09-cpp-6291456,cpp,6291456,342,0667435472
4,r04-o10-cpp-262144,cpp,262144,8192,0822371146
4,r04-o11-go-8388608,go,8388608,256,0842705122
4,r04-o12-cpp-536870912,cpp,536870912,4,0922176708
4,r04-o13-c-262144,c,262144,8192,1058566184
4,r04-o14-c-36864,c,36864,58255,1126317187
4,r04-o15-cpp-8388608,cpp,8388608,256,1192450193
4,r04-o16-rust-6291456,rust,6291456,342,1227996618
4,r04-o17-rust-536870912,rust,536870912,4,1350836852
4,r04-o18-rust-32768,rust,32768,65536,1377091648
4,r04-o19-go-262144,go,262144,8192,1394397820
4,r04-o20-c-6291456,c,6291456,342,1466518580
4,r04-o21-cpp-1048576,cpp,1048576,2048,1535323613
4,r04-o22-go-36864,go,36864,58255,1752851904
4,r04-o23-rust-8388608,rust,8388608,256,1759075762
4,r04-o24-go-6291456,go,6291456,342,1781122984
4,r04-o25-c-32768,c,32768,65536,1803420367
4,r04-o26-rust-1048576,rust,1048576,2048,1945465153
4,r04-o27-rust-36864,rust,36864,58255,1982157802
4,r04-o28-c-8388608,c,8388608,256,2079753019
5,r05-o01-rust-6291456,rust,6291456,342,0001115353
5,r05-o02-c-536870912,c,536870912,4,0120421662
5,r05-o03-go-6291456,go,6291456,342,0152113488
5,r05-o04-go-536870912,go,536870912,4,0387306172
5,r05-o05-go-1048576,go,1048576,2048,0397619907
5,r05-o06-c-32768,c,32768,65536,0416342985
5,r05-o07-c-8388608,c,8388608,256,0423590155
5,r05-o08-go-8388608,go,8388608,256,0635781509
5,r05-o09-cpp-36864,cpp,36864,58255,0656636183
5,r05-o10-rust-8388608,rust,8388608,256,0671560594
5,r05-o11-c-262144,c,262144,8192,0843391425
5,r05-o12-cpp-8388608,cpp,8388608,256,0928568918
5,r05-o13-rust-262144,rust,262144,8192,0975744664
5,r05-o14-c-1048576,c,1048576,2048,1113706390
5,r05-o15-cpp-6291456,cpp,6291456,342,1117584840
5,r05-o16-cpp-32768,cpp,32768,65536,1140260309
5,r05-o17-c-36864,c,36864,58255,1196564745
5,r05-o18-c-6291456,c,6291456,342,1449177558
5,r05-o19-rust-32768,rust,32768,65536,1499503129
5,r05-o20-cpp-262144,cpp,262144,8192,1499979996
5,r05-o21-go-262144,go,262144,8192,1559329940
5,r05-o22-go-32768,go,32768,65536,1579217824
5,r05-o23-cpp-1048576,cpp,1048576,2048,1763016339
5,r05-o24-rust-36864,rust,36864,58255,1774043520
5,r05-o25-cpp-536870912,cpp,536870912,4,1783297620
5,r05-o26-go-36864,go,36864,58255,1796846148
5,r05-o27-rust-536870912,rust,536870912,4,1824908672
5,r05-o28-rust-1048576,rust,1048576,2048,2079736553
6,r06-o01-cpp-262144,cpp,262144,8192,0030105199
6,r06-o02-rust-1048576,rust,1048576,2048,0066524306
6,r06-o03-rust-536870912,rust,536870912,4,0151496845
6,r06-o04-go-8388608,go,8388608,256,0428857896
6,r06-o05-cpp-536870912,cpp,536870912,4,0496934885
6,r06-o06-c-262144,c,262144,8192,0628216666
6,r06-o07-go-32768,go,32768,65536,0628820631
6,r06-o08-cpp-8388608,cpp,8388608,256,0664687643
6,r06-o09-go-6291456,go,6291456,342,0670587639
6,r06-o10-cpp-36864,cpp,36864,58255,0699829788
6,r06-o11-go-1048576,go,1048576,2048,0706722661
6,r06-o12-go-536870912,go,536870912,4,0722386960
6,r06-o13-c-8388608,c,8388608,256,0914910938
6,r06-o14-rust-6291456,rust,6291456,342,0921717735
6,r06-o15-c-32768,c,32768,65536,1176749250
6,r06-o16-c-36864,c,36864,58255,1266812303
6,r06-o17-c-6291456,c,6291456,342,1431836536
6,r06-o18-rust-262144,rust,262144,8192,1509115557
6,r06-o19-rust-36864,rust,36864,58255,1565929238
6,r06-o20-cpp-6291456,cpp,6291456,342,1567734208
6,r06-o21-rust-32768,rust,32768,65536,1621914610
6,r06-o22-go-262144,go,262144,8192,1724262060
6,r06-o23-rust-8388608,rust,8388608,256,1731529073
6,r06-o24-c-536870912,c,536870912,4,1804624383
6,r06-o25-c-1048576,c,1048576,2048,1830191481
6,r06-o26-go-36864,go,36864,58255,1840840392
6,r06-o27-cpp-32768,cpp,32768,65536,1920583600
6,r06-o28-cpp-1048576,cpp,1048576,2048,1990709065
7,r07-o01-cpp-1048576,cpp,1048576,2048,0070918144
7,r07-o02-rust-1048576,rust,1048576,2048,0200795706
7,r07-o03-go-8388608,go,8388608,256,0221934283
7,r07-o04-c-1048576,c,1048576,2048,0399192925
7,r07-o05-cpp-8388608,cpp,8388608,256,0400806368
7,r07-o06-c-262144,c,262144,8192,0413041907
7,r07-o07-cpp-32768,cpp,32768,65536,0553423244
7,r07-o08-rust-536870912,rust,536870912,4,0625568665
7,r07-o09-rust-8388608,rust,8388608,256,0644013905
7,r07-o10-cpp-262144,cpp,262144,8192,0707714049
7,r07-o11-cpp-36864,cpp,36864,58255,0743023393
7,r07-o12-go-1048576,go,1048576,2048,1015825415
7,r07-o13-go-536870912,go,536870912,4,1057467748
7,r07-o14-go-6291456,go,6291456,342,1189061790
7,r07-o15-c-36864,c,36864,58255,1337059861
7,r07-o16-c-536870912,c,536870912,4,1341343457
7,r07-o17-rust-36864,rust,36864,58255,1357814956
7,r07-o18-cpp-536870912,cpp,536870912,4,1358055797
7,r07-o19-c-8388608,c,8388608,256,1406231721
7,r07-o20-c-6291456,c,6291456,342,1414495514
7,r07-o21-rust-32768,rust,32768,65536,1744326091
7,r07-o22-go-32768,go,32768,65536,1825907085
7,r07-o23-rust-6291456,rust,6291456,342,1842320117
7,r07-o24-go-36864,go,36864,58255,1884834636
7,r07-o25-go-262144,go,262144,8192,1889194180
7,r07-o26-c-32768,c,32768,65536,1937155515
7,r07-o27-cpp-6291456,cpp,6291456,342,2017883576
7,r07-o28-rust-262144,rust,262144,8192,2042486450
8,r08-o01-go-8388608,go,8388608,256,0015010670
8,r08-o02-cpp-536870912,cpp,536870912,4,0071693062
8,r08-o03-cpp-8388608,cpp,8388608,256,0136925093
8,r08-o04-c-262144,c,262144,8192,0197867148
8,r08-o05-cpp-1048576,cpp,1048576,2048,0298610870
8,r08-o06-cpp-6291456,cpp,6291456,342,0320549297
8,r08-o07-rust-1048576,rust,1048576,2048,0335067106
8,r08-o08-rust-262144,rust,262144,8192,0428373696
8,r08-o09-c-32768,c,32768,65536,0550078133
8,r08-o10-rust-6291456,rust,6291456,342,0615438852
8,r08-o11-cpp-36864,cpp,36864,58255,0786216998
8,r08-o12-go-32768,go,32768,65536,0875509892
8,r08-o13-c-536870912,c,536870912,4,0878062531
8,r08-o14-rust-536870912,rust,536870912,4,1099640485
8,r08-o15-c-1048576,c,1048576,2048,1115678016
8,r08-o16-rust-36864,rust,36864,58255,1149700674
8,r08-o17-go-1048576,go,1048576,2048,1324928169
8,r08-o18-cpp-32768,cpp,32768,65536,1333746535
8,r08-o19-cpp-262144,cpp,262144,8192,1385322899
8,r08-o20-go-536870912,go,536870912,4,1392548536
8,r08-o21-c-6291456,c,6291456,342,1397154492
8,r08-o22-c-36864,c,36864,58255,1407307419
8,r08-o23-rust-8388608,rust,8388608,256,1703982384
8,r08-o24-go-6291456,go,6291456,342,1707535941
8,r08-o25-rust-32768,rust,32768,65536,1866737572
8,r08-o26-c-8388608,c,8388608,256,1897552504
8,r08-o27-go-36864,go,36864,58255,1928828880
8,r08-o28-go-262144,go,262144,8192,2054126300
9,r09-o01-go-262144,go,262144,8192,0071574773
9,r09-o02-go-6291456,go,6291456,342,0078526445
9,r09-o03-c-8388608,c,8388608,256,0241389640
9,r09-o04-c-536870912,c,536870912,4,0414781605
9,r09-o05-rust-1048576,rust,1048576,2048,0469338506
9,r09-o06-cpp-1048576,cpp,1048576,2048,0526303596
9,r09-o07-rust-8388608,rust,8388608,256,0616467216
9,r09-o08-cpp-6291456,cpp,6291456,342,0770698665
9,r09-o09-cpp-36864,cpp,36864,58255,0829410603
9,r09-o10-cpp-536870912,cpp,536870912,4,0932813974
9,r09-o11-rust-36864,rust,36864,58255,0941586392
9,r09-o12-rust-262144,rust,262144,8192,0961744589
9,r09-o13-c-32768,c,32768,65536,1310484398
9,r09-o14-c-6291456,c,6291456,342,1379813470
9,r09-o15-c-36864,c,36864,58255,1477554977
9,r09-o16-rust-6291456,rust,6291456,342,1536041234
9,r09-o17-rust-536870912,rust,536870912,4,1573712305
9,r09-o18-go-1048576,go,1048576,2048,1634030923
9,r09-o19-go-536870912,go,536870912,4,1727629324
9,r09-o20-c-1048576,c,1048576,2048,1832163107
9,r09-o21-go-8388608,go,8388608,256,1955570704
9,r09-o22-go-36864,go,36864,58255,1972823124
9,r09-o23-rust-32768,rust,32768,65536,1989149053
9,r09-o24-cpp-8388608,cpp,8388608,256,2020527465
9,r09-o25-cpp-262144,cpp,262144,8192,2062931749
9,r09-o26-go-32768,go,32768,65536,2072596346
9,r09-o27-cpp-32768,cpp,32768,65536,2114069826
9,r09-o28-c-262144,c,262144,8192,2130176036
10,r10-o01-go-262144,go,262144,8192,0236506893
10,r10-o02-rust-6291456,rust,6291456,342,0309159969
10,r10-o03-c-1048576,c,1048576,2048,0401164551
10,r10-o04-cpp-262144,cpp,262144,8192,0593056952
10,r10-o05-go-6291456,go,6291456,342,0597000596
10,r10-o06-rust-1048576,rust,1048576,2048,0603609906
10,r10-o07-c-8388608,c,8388608,256,0732710423
10,r10-o08-rust-36864,rust,36864,58255,0733472110
10,r10-o09-cpp-32768,cpp,32768,65536,0746909470
10,r10-o10-cpp-1048576,cpp,1048576,2048,0753996322
10,r10-o11-cpp-36864,cpp,36864,58255,0872604208
10,r10-o12-go-32768,go,32768,65536,1122199153
10,r10-o13-cpp-6291456,cpp,6291456,342,1220848033
10,r10-o14-c-6291456,c,6291456,342,1362472448
10,r10-o15-rust-262144,rust,262144,8192,1495115482
10,r10-o16-c-36864,c,36864,58255,1547802535
10,r10-o17-rust-8388608,rust,8388608,256,1676435695
10,r10-o18-go-8388608,go,8388608,256,1748647091
10,r10-o19-cpp-8388608,cpp,8388608,256,1756646190
10,r10-o20-cpp-536870912,cpp,536870912,4,1793934886
10,r10-o21-c-262144,c,262144,8192,1915001277
10,r10-o22-go-1048576,go,1048576,2048,1943133677
10,r10-o23-go-36864,go,36864,58255,2016817368
10,r10-o24-rust-536870912,rust,536870912,4,2047784125
10,r10-o25-go-536870912,go,536870912,4,2062710112
10,r10-o26-c-32768,c,32768,65536,2070890663
10,r10-o27-c-536870912,c,536870912,4,2098984326
10,r10-o28-rust-32768,rust,32768,65536,2111560534
11,r11-o01-rust-32768,rust,32768,65536,0086488368
11,r11-o02-go-1048576,go,1048576,2048,0104752784
11,r11-o03-go-32768,go,32768,65536,0171801960
11,r11-o04-go-536870912,go,536870912,4,0250307253
11,r11-o05-rust-536870912,rust,536870912,4,0374372298
11,r11-o06-go-262144,go,262144,8192,0401439013
11,r11-o07-cpp-536870912,cpp,536870912,4,0507572151
11,r11-o08-rust-36864,rust,36864,58255,0525357828
11,r11-o09-rust-8388608,rust,8388608,256,0588920527
11,r11-o10-c-32768,c,32768,65536,0683813281
11,r11-o11-rust-1048576,rust,1048576,2048,0737881306
11,r11-o12-cpp-36864,cpp,36864,58255,0915797813
11,r11-o13-cpp-1048576,cpp,1048576,2048,0981689048
11,r11-o14-go-6291456,go,6291456,342,1115474747
11,r11-o15-c-1048576,c,1048576,2048,1117649642
11,r11-o16-c-8388608,c,8388608,256,1224031206
11,r11-o17-rust-6291456,rust,6291456,342,1229762351
11,r11-o18-cpp-262144,cpp,262144,8192,1270665802
11,r11-o19-c-6291456,c,6291456,342,1345131426
11,r11-o20-cpp-8388608,cpp,8388608,256,1492764915
11,r11-o21-cpp-32768,cpp,32768,65536,1527232761
11,r11-o22-go-8388608,go,8388608,256,1541723478
11,r11-o23-c-36864,c,36864,58255,1618050093
11,r11-o24-c-536870912,c,536870912,4,1635703400
11,r11-o25-cpp-6291456,cpp,6291456,342,1670997401
11,r11-o26-c-262144,c,262144,8192,1699826518
11,r11-o27-rust-262144,rust,262144,8192,2028486375
11,r11-o28-go-36864,go,36864,58255,2060811612
12,r12-o01-rust-6291456,rust,6291456,342,0002881086
12,r12-o02-cpp-32768,cpp,32768,65536,0160072405
12,r12-o03-rust-32768,rust,32768,65536,0208899849
12,r12-o04-rust-36864,rust,36864,58255,0317243546
12,r12-o05-go-1048576,go,1048576,2048,0413855538
12,r12-o06-rust-262144,rust,262144,8192,0414373621
12,r12-o07-go-262144,go,262144,8192,0566371133
12,r12-o08-go-536870912,go,536870912,4,0585388041
12,r12-o09-rust-536870912,rust,536870912,4,0848444118
12,r12-o10-rust-1048576,rust,1048576,2048,0872152706
12,r12-o11-cpp-36864,cpp,36864,58255,0958991418
12,r12-o12-c-536870912,c,536870912,4,1172422474
12,r12-o13-cpp-1048576,cpp,1048576,2048,1209381774
12,r12-o14-cpp-8388608,cpp,8388608,256,1228883640
12,r12-o15-c-6291456,c,6291456,342,1327790404
12,r12-o16-go-8388608,go,8388608,256,1334799865
12,r12-o17-cpp-536870912,cpp,536870912,4,1368693063
12,r12-o18-go-32768,go,32768,65536,1368888414
12,r12-o19-c-32768,c,32768,65536,1444219546
12,r12-o20-c-262144,c,262144,8192,1484651759
12,r12-o21-go-6291456,go,6291456,342,1633948898
12,r12-o22-rust-8388608,rust,8388608,256,1648889006
12,r12-o23-c-36864,c,36864,58255,1688297651
12,r12-o24-c-8388608,c,8388608,256,1715351989
12,r12-o25-c-1048576,c,1048576,2048,1834134733
12,r12-o26-cpp-262144,cpp,262144,8192,1948274652
12,r12-o27-go-36864,go,36864,58255,2104805856
12,r12-o28-cpp-6291456,cpp,6291456,342,2121146769
13,r13-o01-go-36864,go,36864,58255,0001316453
13,r13-o02-go-6291456,go,6291456,342,0004939402
13,r13-o03-c-32768,c,32768,65536,0057142164
13,r13-o04-c-8388608,c,8388608,256,0059189125
13,r13-o05-cpp-536870912,cpp,536870912,4,0082330328
13,r13-o06-rust-36864,rust,36864,58255,0109129264
13,r13-o07-rust-32768,rust,32768,65536,0331311330
13,r13-o08-c-1048576,c,1048576,2048,0403136177
13,r13-o09-go-32768,go,32768,65536,0418491221
13,r13-o10-cpp-6291456,cpp,6291456,342,0423812490
13,r13-o11-cpp-262144,cpp,262144,8192,0478399855
13,r13-o12-rust-8388608,rust,8388608,256,0561373838
13,r13-o13-c-536870912,c,536870912,4,0709141548
13,r13-o14-go-1048576,go,1048576,2048,0722958292
13,r13-o15-go-262144,go,262144,8192,0731303253
13,r13-o16-go-536870912,go,536870912,4,0920468829
13,r13-o17-rust-6291456,rust,6291456,342,0923483468
13,r13-o18-cpp-32768,cpp,32768,65536,0940395696
13,r13-o19-rust-262144,rust,262144,8192,0947744514
13,r13-o20-cpp-8388608,cpp,8388608,256,0965002365
13,r13-o21-cpp-36864,cpp,36864,58255,1002185023
13,r13-o22-rust-1048576,rust,1048576,2048,1006424106
13,r13-o23-go-8388608,go,8388608,256,1127876252
13,r13-o24-c-262144,c,262144,8192,1269477000
13,r13-o25-c-6291456,c,6291456,342,1310449382
13,r13-o26-rust-536870912,rust,536870912,4,1322515938
13,r13-o27-cpp-1048576,cpp,1048576,2048,1437074500
13,r13-o28-c-36864,c,36864,58255,1758545209
14,r14-o01-go-36864,go,36864,58255,0045310697
14,r14-o02-c-536870912,c,536870912,4,0245860622
14,r14-o03-rust-32768,rust,32768,65536,0453722811
14,r14-o04-go-6291456,go,6291456,342,0523413553
14,r14-o05-c-8388608,c,8388608,256,0550509908
14,r14-o06-cpp-8388608,cpp,8388608,256,0701121090
14,r14-o07-c-32768,c,32768,65536,0817548429
14,r14-o08-cpp-6291456,cpp,6291456,342,0873961858
14,r14-o09-go-262144,go,262144,8192,0896235373
14,r14-o10-go-8388608,go,8388608,256,0920952639
14,r14-o11-cpp-536870912,cpp,536870912,4,0943451240
14,r14-o12-go-1048576,go,1048576,2048,1032061046
14,r14-o13-cpp-36864,cpp,36864,58255,1045378628
14,r14-o14-c-262144,c,262144,8192,1054302241
14,r14-o15-c-1048576,c,1048576,2048,1119621268
14,r14-o16-rust-1048576,rust,1048576,2048,1140695506
14,r14-o17-cpp-262144,cpp,262144,8192,1156008705
14,r14-o18-go-536870912,go,536870912,4,1255549617
14,r14-o19-c-6291456,c,6291456,342,1293108360
14,r14-o20-rust-262144,rust,262144,8192,1481115407
14,r14-o21-go-32768,go,32768,65536,1615577675
14,r14-o22-rust-8388608,rust,8388608,256,1621342317
14,r14-o23-cpp-1048576,cpp,1048576,2048,1664767226
14,r14-o24-cpp-32768,cpp,32768,65536,1720718987
14,r14-o25-rust-536870912,rust,536870912,4,1796587758
14,r14-o26-c-36864,c,36864,58255,1828792767
14,r14-o27-rust-6291456,rust,6291456,342,1844085850
14,r14-o28-rust-36864,rust,36864,58255,2048498629
15,r15-o01-go-36864,go,36864,58255,0089304941
15,r15-o02-rust-536870912,rust,536870912,4,0123175931
15,r15-o03-cpp-32768,cpp,32768,65536,0353558631
15,r15-o04-cpp-8388608,cpp,8388608,256,0437239815
15,r15-o05-rust-8388608,rust,8388608,256,0533827149
15,r15-o06-rust-32768,rust,32768,65536,0576134292
15,r15-o07-rust-6291456,rust,6291456,342,0617204585
15,r15-o08-go-32768,go,32768,65536,0665180482
15,r15-o09-go-8388608,go,8388608,256,0714029026
15,r15-o10-c-262144,c,262144,8192,0839127482
15,r15-o11-c-8388608,c,8388608,256,1041830691
15,r15-o12-go-6291456,go,6291456,342,1041887704
15,r15-o13-go-262144,go,262144,8192,1061167493
15,r15-o14-cpp-36864,cpp,36864,58255,1088572233
15,r15-o15-rust-1048576,rust,1048576,2048,1274966906
15,r15-o16-c-6291456,c,6291456,342,1275767338
15,r15-o17-cpp-6291456,cpp,6291456,342,1324111226
15,r15-o18-go-1048576,go,1048576,2048,1341163800
15,r15-o19-c-32768,c,32768,65536,1577954694
15,r15-o20-go-536870912,go,536870912,4,1590630405
15,r15-o21-cpp-536870912,cpp,536870912,4,1804572152
15,r15-o22-cpp-262144,cpp,262144,8192,1833617555
15,r15-o23-c-1048576,c,1048576,2048,1836106359
15,r15-o24-rust-36864,rust,36864,58255,1840384347
15,r15-o25-cpp-1048576,cpp,1048576,2048,1892459952
15,r15-o26-c-36864,c,36864,58255,1899040325
15,r15-o27-c-536870912,c,536870912,4,1930063343
15,r15-o28-rust-262144,rust,262144,8192,2014486300
