round,mode,implementation,state,perf_profile,footprint_bytes,seed
3,prefetch_chain,scalar,cache_evicted,branch,6291456,28400
3,prefetch_chain,scalar,warm,branch,131072,24304
3,prefetch_chain,scalar,warm,branch,134217728,24304
3,prefetch_chain,scalar,warm,basic,1048576,24304
3,prefetch_chain,scalar,cache_evicted,basic,6291456,28400
3,prefetch_chain,scalar,cache_evicted,branch,32768,28400
3,prefetch_chain,scalar,warm,branch,32768,24304
3,prefetch_chain,scalar,warm,branch,524288,24304
3,prefetch_chain,scalar,warm,basic,8192,24304
3,prefetch_chain,scalar,warm,branch,2097152,24304
3,prefetch_chain,scalar,warm,basic,134217728,24304
3,prefetch_chain,scalar,warm,basic,16384,24304
3,prefetch_chain,scalar,warm,branch,1048576,24304
3,prefetch_chain,scalar,warm,branch,36864,24304
3,prefetch_chain,scalar,warm,basic,4194304,24304
3,prefetch_chain,scalar,warm,branch,262144,24304
3,prefetch_chain,scalar,warm,branch,5242880,24304
3,prefetch_chain,scalar,warm,branch,65536,24304
3,prefetch_chain,scalar,warm,branch,196608,24304
3,prefetch_chain,scalar,warm,basic,12582912,24304
3,prefetch_chain,scalar,cache_evicted,basic,33554432,28400
3,prefetch_chain,scalar,warm,branch,7340032,24304
3,prefetch_chain,scalar,warm,basic,28672,24304
3,prefetch_chain,scalar,warm,basic,24576,24304
4,prefetch_chain,scalar,warm,branch,229376,24305
4,prefetch_chain,scalar,warm,branch,24576,24305
4,prefetch_chain,scalar,warm,branch,536870912,24305
4,prefetch_chain,scalar,warm,basic,36864,24305
4,prefetch_chain,scalar,warm,basic,294912,24305
4,prefetch_chain,scalar,warm,basic,4194304,24305
4,prefetch_chain,scalar,warm,branch,7340032,24305
4,prefetch_chain,scalar,warm,branch,134217728,24305
4,prefetch_chain,scalar,cache_evicted,branch,536870912,28401
4,prefetch_chain,scalar,warm,branch,4194304,24305
4,prefetch_chain,scalar,warm,basic,131072,24305
4,prefetch_chain,scalar,cache_evicted,branch,8388608,28401
4,prefetch_chain,scalar,warm,branch,12582912,24305
4,prefetch_chain,scalar,warm,basic,7340032,24305
4,prefetch_chain,scalar,warm,basic,134217728,24305
4,prefetch_chain,scalar,warm,branch,33554432,24305
4,prefetch_chain,scalar,cache_evicted,basic,536870912,28401
4,prefetch_chain,scalar,warm,basic,524288,24305
4,prefetch_chain,scalar,warm,branch,32768,24305
4,prefetch_chain,scalar,warm,branch,5242880,24305
4,prefetch_chain,scalar,warm,basic,65536,24305
4,prefetch_chain,scalar,warm,basic,16384,24305
4,prefetch_chain,scalar,warm,branch,294912,24305
4,prefetch_chain,scalar,warm,branch,524288,24305
4,prefetch_chain,scalar,cache_evicted,branch,32768,28401
4,prefetch_chain,scalar,warm,basic,98304,24305
4,prefetch_chain,scalar,warm,basic,28672,24305
