sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r06-o07-gcc13_lane8-262144,6,gcc13_lane8,262144,85450,350003200,413410186,756379970254730359,756379970254730359,907405013,2712525119,907405004,413439628,413439628,1
r06-o08-gcc13_lane1-32768,6,gcc13_lane1,32768,195313,100000256,375474459,221271359518073939,221271359518073939,824139371,900002587,824139338,375504792,375504792,1
r06-o09-gcc13_lane1-6291456,6,gcc13_lane1,6291456,102,10027008,426745519,21549733755203228,21549733755203228,936675584,90243355,936675586,426778224,426778224,1
r06-o10-gcc13_lane1-262144,6,gcc13_lane1,262144,9766,40001536,385056722,86445885965269521,86445885965269521,845172100,360014107,845172086,385087510,385087510,1
r06-o11-gcc13_lane8-536870912,6,gcc13_lane8,536870912,3,25165824,316100853,54016160691990295,54016160691990295,693820306,195035455,693820314,316134837,316134837,1
r06-o12-gcc13_lane8-6291456,6,gcc13_lane8,6291456,1221,120029184,838994422,257963754663396029,257963754663396029,1841527148,930226495,1841527160,839026944,839026944,1
r06-o13-gcc13_lane1-8388608,6,gcc13_lane1,8388608,62,8126464,449760471,17462239205602153,17462239205602153,987190978,73138459,987190930,449793145,449793145,1
r06-o14-gcc13_lane8-32768,6,gcc13_lane8,32768,683594,350000128,338905524,774447998133594241,774447998133594241,743874154,2712501311,743874142,338936331,338936331,1
r07-o01-gcc13_lane1-8388608,7,gcc13_lane1,8388608,62,8126464,442365168,17462239205602153,17462239205602153,970959799,73138459,970959814,442397416,442397416,1
r07-o02-gcc13_lane8-6291456,7,gcc13_lane8,6291456,1221,120029184,651475757,257963754663396029,257963754663396029,1429891308,930226497,1429891320,651509326,651509326,1
r07-o03-gcc13_lane1-1048576,7,gcc13_lane1,1048576,1221,20004864,419465110,43272497840938563,43272497840938563,920695114,180044059,920695094,419494372,419494372,1
r07-o04-gcc13_lane8-1048576,7,gcc13_lane8,1048576,15259,250003456,691202032,540782577536582989,540782577536582989,1517135504,1937527103,1517135532,691233677,691233677,1
r07-o05-gcc13_lane8-32768,7,gcc13_lane8,32768,683594,350000128,338878046,774447998133594241,774447998133594241,743813391,2712501311,743813400,338906244,338906244,1
r07-o06-gcc13_lane1-36864,7,gcc13_lane1,36864,173612,100000512,721724165,221395076082124221,221395076082124221,1584129358,900004891,1584129360,721755924,721755924,1
r07-o07-gcc13_lane8-8388608,7,gcc13_lane8,8388608,916,120061952,805149892,257992015106286337,257992015106286337,1767241587,930480447,1767241586,805182716,805182716,1
r07-o08-gcc13_lane1-6291456,7,gcc13_lane1,6291456,102,10027008,557515132,21549733755203228,21549733755203228,1223703932,90243355,1223703954,557547651,557547651,1
r07-o09-gcc13_lane8-262144,7,gcc13_lane8,262144,85450,350003200,666465610,756379970254730359,756379970254730359,1462841348,2712525119,1462841336,666497319,666497319,1
r07-o10-gcc13_lane1-262144,7,gcc13_lane1,262144,9766,40001536,372020604,86445885965269521,86445885965269521,816558232,360014107,816558226,372048426,372048426,1
r07-o11-gcc13_lane8-36864,7,gcc13_lane8,36864,607639,350000064,408473234,774878977565100034,774878977565100034,896570070,2712500815,896570048,408504540,408504540,1
r07-o12-gcc13_lane1-536870912,7,gcc13_lane1,536870912,1,8388608,831434340,18012249170480756,18012249170480756,1824934172,75497755,1824934166,831467943,831467943,1
r07-o13-gcc13_lane8-536870912,7,gcc13_lane8,536870912,3,25165824,316803398,54016160691990295,54016160691990295,695362211,195035455,695362206,316836028,316836028,1
r07-o14-gcc13_lane1-32768,7,gcc13_lane1,32768,195313,100000256,366941193,221271359518073939,221271359518073939,805409613,900002587,805409616,366971513,366971513,1
