sample_id,round,variant,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r04-o05-gcc13_prefetch-36864,4,gcc13_prefetch,36864,173612,100000512,875269483,221395076082124221,221395076082124221,1921147545,1200006427,1921147536,875296916,875296916,1
r04-o06-gcc13_no_prefetch-32768,4,gcc13_no_prefetch,32768,195313,100000256,366501153,221271359518073939,221271359518073939,804443041,900002587,804443046,366526953,366526953,1
r04-o07-gcc13_prefetch-8388608,4,gcc13_prefetch,8388608,62,8126464,458924429,17462239205602153,17462239205602153,1007305318,97517851,1007305332,458955288,458955288,1
r04-o08-gcc13_prefetch-1048576,4,gcc13_prefetch,1048576,1221,20004864,421749170,43272497840938563,43272497840938563,925708181,240058651,925708168,421777273,421777273,1
r04-o09-gcc13_no_prefetch-262144,4,gcc13_no_prefetch,262144,9766,40001536,570684418,86445885965269521,86445885965269521,1252608427,360014107,1252608478,570710818,570710818,1
r04-o10-gcc13_prefetch-262144,4,gcc13_prefetch,262144,9766,40001536,456414677,86445885965269521,86445885965269521,1001796345,480018715,1001796334,456441602,456441602,1
r04-o11-gcc13_no_prefetch-536870912,4,gcc13_no_prefetch,536870912,1,8388608,832853082,18012249170480756,18012249170480756,1828048575,75497755,1828048552,832886903,832886903,1
r04-o12-gcc13_prefetch-6291456,4,gcc13_prefetch,6291456,102,10027008,562372874,21549733755203228,21549733755203228,1234339666,120324382,1234339634,562402336,562402336,1
r04-o13-gcc13_prefetch-536870912,4,gcc13_prefetch,536870912,1,8388608,897562216,18012249170480756,18012249170480756,1970079477,100663579,1970079496,897595911,897595911,1
r04-o14-gcc13_prefetch-32768,4,gcc13_prefetch,32768,195313,100000256,340784557,221271359518073939,221271359518073939,747998112,1200003355,747998086,340812838,340812838,1
r05-o01-gcc13_prefetch-536870912,5,gcc13_prefetch,536870912,1,8388608,897847965,18012249170480756,18012249170480756,1970707276,100663579,1970707288,897882630,897882630,1
r05-o02-gcc13_prefetch-32768,5,gcc13_prefetch,32768,195313,100000256,342419930,221271359518073939,221271359518073939,751587237,1200003355,751587232,342447375,342447375,1
r05-o03-gcc13_no_prefetch-1048576,5,gcc13_no_prefetch,1048576,1221,20004864,443733900,43272497840938563,43272497840938563,973962948,180044059,973962924,443763282,443763282,1
r05-o04-gcc13_no_prefetch-8388608,5,gcc13_no_prefetch,8388608,62,8126464,671368748,17462239205602153,17462239205602153,1473603304,73138459,1473603296,671402427,671402427,1
r05-o05-gcc13_prefetch-36864,5,gcc13_prefetch,36864,173612,100000512,875180162,221395076082124221,221395076082124221,1920951600,1200006427,1920951626,875208317,875208317,1
r05-o06-gcc13_prefetch-1048576,5,gcc13_prefetch,1048576,1221,20004864,467683703,43272497840938563,43272497840938563,1026530516,240058651,1026530494,467711962,467711962,1
