language,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,min_ns_per_element,max_ns_per_element
go,scalar,short,32768,15,0.652052000,0.651751000,0.652445000
go,scalar,short,262144,15,0.683352000,0.682600000,0.683851000
go,scalar,short,1048576,15,0.687345000,0.687013000,0.690158000
go,scalar,short,8388608,15,0.734457000,0.724943000,0.742883000
go,scalar,short,67108864,15,0.782824000,0.776882000,0.788784000
go,scalar,string16,32768,15,10.430400000,10.425300000,10.495400000
go,scalar,string16,262144,15,10.734100000,10.726500000,10.753700000
go,scalar,string16,1048576,15,10.837300000,10.810400000,10.872800000
go,scalar,string16,8388608,15,11.168500000,11.075700000,11.325200000
go,scalar,string16,67108864,15,11.693800000,11.579700000,11.711200000
rust,scalar,double,32768,15,1.367030000,1.366940000,1.369280000
rust,scalar,double,262144,15,1.367670000,1.367570000,1.367970000
rust,scalar,double,1048576,15,1.370060000,1.369480000,1.371690000
rust,scalar,double,8388608,15,1.494490000,1.482840000,1.510400000
rust,scalar,double,67108864,15,1.658720000,1.654330000,1.662640000
rust,scalar,float,32768,15,1.367390000,1.366850000,1.386920000
rust,scalar,float,262144,15,1.367230000,1.367190000,1.367370000
rust,scalar,float,1048576,15,1.368420000,1.368110000,1.368570000
rust,scalar,float,8388608,15,1.429820000,1.416040000,1.432200000
rust,scalar,float,67108864,15,1.507740000,1.507130000,1.515230000
rust,scalar,int,32768,15,0.582169000,0.581627000,0.588371000
rust,scalar,int,262144,15,0.588771000,0.588212000,0.590668000
rust,scalar,int,1048576,15,0.594772000,0.594220000,0.595720000
rust,scalar,int,8388608,15,0.672284000,0.661617000,0.695996000
rust,scalar,int,67108864,15,0.756411000,0.755277000,0.766405000
rust,scalar,short,32768,15,0.580946000,0.580720000,0.586242000
rust,scalar,short,262144,15,0.589385000,0.588338000,0.589780000
rust,scalar,short,1048576,15,0.592273000,0.590900000,0.593988000
rust,scalar,short,8388608,15,0.629019000,0.620881000,0.635482000
rust,scalar,short,67108864,15,0.672590000,0.671861000,0.677325000
rust,scalar,string16,32768,15,4.127270000,4.126670000,4.135440000
rust,scalar,string16,262144,15,4.920140000,4.905950000,4.941300000
rust,scalar,string16,1048576,15,4.979430000,4.978180000,4.982690000
rust,scalar,string16,8388608,15,5.255260000,5.191900000,5.325520000
rust,scalar,string16,67108864,15,5.590320000,5.584190000,5.643540000
