round,language,implementation,value_type,footprint_bytes,passes
2,c,scalar,float,1048576,2048
2,c,scalar,float,8388608,256
2,c,scalar,float,67108864,32
2,c,scalar,double,32768,65536
2,c,scalar,double,262144,8192
2,c,scalar,double,1048576,2048
2,c,scalar,double,8388608,256
2,c,scalar,double,67108864,32
2,cpp,avx2,short,32768,65536
2,cpp,avx2,short,262144,8192
2,cpp,avx2,short,1048576,2048
2,cpp,avx2,short,8388608,256
2,cpp,avx2,short,67108864,32
3,go,scalar,double,32768,65536
3,go,scalar,double,262144,8192
3,go,scalar,double,1048576,2048
3,go,scalar,double,8388608,256
3,go,scalar,double,67108864,32
3,rust,scalar,float,32768,65536
3,rust,scalar,float,262144,8192
3,rust,scalar,float,1048576,2048
3,rust,scalar,float,8388608,256
3,rust,scalar,float,67108864,32
3,cpp,avx2,string16,32768,65536
3,cpp,avx2,string16,262144,8192
3,cpp,avx2,string16,1048576,2048
3,cpp,avx2,string16,8388608,256
3,cpp,avx2,string16,67108864,32
3,c,avx2,double,32768,65536
3,c,avx2,double,262144,8192
3,c,avx2,double,1048576,2048
3,c,avx2,double,8388608,256
3,c,avx2,double,67108864,32
3,c,scalar,int,32768,65536
3,c,scalar,int,262144,8192
3,c,scalar,int,1048576,2048
3,c,scalar,int,8388608,256
3,c,scalar,int,67108864,32
3,cpp,scalar,int,32768,65536
3,cpp,scalar,int,262144,8192
3,cpp,scalar,int,1048576,2048
3,cpp,scalar,int,8388608,256
3,cpp,scalar,int,67108864,32
3,go,scalar,int,32768,65536
3,go,scalar,int,262144,8192
3,go,scalar,int,1048576,2048
3,go,scalar,int,8388608,256
3,go,scalar,int,67108864,32
3,rust,scalar,string16,32768,65536
3,rust,scalar,string16,262144,8192
3,rust,scalar,string16,1048576,2048
3,rust,scalar,string16,8388608,256
3,rust,scalar,string16,67108864,32
3,c,scalar,short,32768,65536
3,c,scalar,short,262144,8192
3,c,scalar,short,1048576,2048
3,c,scalar,short,8388608,256
3,c,scalar,short,67108864,32
3,go,scalar,short,32768,65536
3,go,scalar,short,262144,8192
3,go,scalar,short,1048576,2048
3,go,scalar,short,8388608,256
3,go,scalar,short,67108864,32
3,cpp,scalar,double,32768,65536
3,cpp,scalar,double,262144,8192
3,cpp,scalar,double,1048576,2048
3,cpp,scalar,double,8388608,256
3,cpp,scalar,double,67108864,32
3,cpp,avx2,float,32768,65536
3,cpp,avx2,float,262144,8192
3,cpp,avx2,float,1048576,2048
3,cpp,avx2,float,8388608,256
3,cpp,avx2,float,67108864,32
3,c,avx2,float,32768,65536
3,c,avx2,float,262144,8192
3,c,avx2,float,1048576,2048
3,c,avx2,float,8388608,256
3,c,avx2,float,67108864,32
3,cpp,scalar,float,32768,65536
3,cpp,scalar,float,262144,8192
3,cpp,scalar,float,1048576,2048
3,cpp,scalar,float,8388608,256
3,cpp,scalar,float,67108864,32
3,c,scalar,double,32768,65536
3,c,scalar,double,262144,8192
3,c,scalar,double,1048576,2048
3,c,scalar,double,8388608,256
3,c,scalar,double,67108864,32
3,c,scalar,string16,32768,65536
3,c,scalar,string16,262144,8192
3,c,scalar,string16,1048576,2048
3,c,scalar,string16,8388608,256
3,c,scalar,string16,67108864,32
3,c,avx2,int,32768,65536
3,c,avx2,int,262144,8192
3,c,avx2,int,1048576,2048
3,c,avx2,int,8388608,256
3,c,avx2,int,67108864,32
3,cpp,scalar,short,32768,65536
3,cpp,scalar,short,262144,8192
3,cpp,scalar,short,1048576,2048
3,cpp,scalar,short,8388608,256
3,cpp,scalar,short,67108864,32
3,rust,scalar,short,32768,65536
3,rust,scalar,short,262144,8192
3,rust,scalar,short,1048576,2048
3,rust,scalar,short,8388608,256
3,rust,scalar,short,67108864,32
3,c,avx2,short,32768,65536
3,c,avx2,short,262144,8192
3,c,avx2,short,1048576,2048
3,c,avx2,short,8388608,256
3,c,avx2,short,67108864,32
3,go,scalar,string16,32768,65536
3,go,scalar,string16,262144,8192
3,go,scalar,string16,1048576,2048
3,go,scalar,string16,8388608,256
3,go,scalar,string16,67108864,32
3,cpp,avx2,short,32768,65536
3,cpp,avx2,short,262144,8192
3,cpp,avx2,short,1048576,2048
3,cpp,avx2,short,8388608,256
3,cpp,avx2,short,67108864,32
3,go,scalar,float,32768,65536
3,go,scalar,float,262144,8192
3,go,scalar,float,1048576,2048
3,go,scalar,float,8388608,256
3,go,scalar,float,67108864,32
3,cpp,avx2,int,32768,65536
3,cpp,avx2,int,262144,8192
3,cpp,avx2,int,1048576,2048
3,cpp,avx2,int,8388608,256
3,cpp,avx2,int,67108864,32
3,rust,scalar,int,32768,65536
3,rust,scalar,int,262144,8192
3,rust,scalar,int,1048576,2048
3,rust,scalar,int,8388608,256
3,rust,scalar,int,67108864,32
3,rust,scalar,double,32768,65536
3,rust,scalar,double,262144,8192
3,rust,scalar,double,1048576,2048
3,rust,scalar,double,8388608,256
3,rust,scalar,double,67108864,32
3,c,scalar,float,32768,65536
3,c,scalar,float,262144,8192
3,c,scalar,float,1048576,2048
3,c,scalar,float,8388608,256
3,c,scalar,float,67108864,32
3,c,avx2,string16,32768,65536
3,c,avx2,string16,262144,8192
3,c,avx2,string16,1048576,2048
3,c,avx2,string16,8388608,256
3,c,avx2,string16,67108864,32
3,cpp,avx2,double,32768,65536
3,cpp,avx2,double,262144,8192
3,cpp,avx2,double,1048576,2048
3,cpp,avx2,double,8388608,256
3,cpp,avx2,double,67108864,32
3,cpp,scalar,string16,32768,65536
3,cpp,scalar,string16,262144,8192
3,cpp,scalar,string16,1048576,2048
3,cpp,scalar,string16,8388608,256
3,cpp,scalar,string16,67108864,32
4,rust,scalar,short,32768,65536
4,rust,scalar,short,262144,8192
4,rust,scalar,short,1048576,2048
4,rust,scalar,short,8388608,256
4,rust,scalar,short,67108864,32
4,cpp,avx2,short,32768,65536
4,cpp,avx2,short,262144,8192
4,cpp,avx2,short,1048576,2048
4,cpp,avx2,short,8388608,256
4,cpp,avx2,short,67108864,32
4,cpp,scalar,short,32768,65536
4,cpp,scalar,short,262144,8192
4,cpp,scalar,short,1048576,2048
4,cpp,scalar,short,8388608,256
4,cpp,scalar,short,67108864,32
4,c,scalar,float,32768,65536
4,c,scalar,float,262144,8192
4,c,scalar,float,1048576,2048
4,c,scalar,float,8388608,256
4,c,scalar,float,67108864,32
4,rust,scalar,int,32768,65536
4,rust,scalar,int,262144,8192
4,rust,scalar,int,1048576,2048
4,rust,scalar,int,8388608,256
4,rust,scalar,int,67108864,32
4,c,scalar,string16,32768,65536
4,c,scalar,string16,262144,8192
4,c,scalar,string16,1048576,2048
4,c,scalar,string16,8388608,256
4,c,scalar,string16,67108864,32
4,rust,scalar,string16,32768,65536
4,rust,scalar,string16,262144,8192
4,rust,scalar,string16,1048576,2048
4,rust,scalar,string16,8388608,256
4,rust,scalar,string16,67108864,32
4,c,scalar,short,32768,65536
4,c,scalar,short,262144,8192
4,c,scalar,short,1048576,2048
4,c,scalar,short,8388608,256
4,c,scalar,short,67108864,32
4,c,avx2,double,32768,65536
4,c,avx2,double,262144,8192
4,c,avx2,double,1048576,2048
4,c,avx2,double,8388608,256
4,c,avx2,double,67108864,32
4,c,scalar,double,32768,65536
4,c,scalar,double,262144,8192
4,c,scalar,double,1048576,2048
4,c,scalar,double,8388608,256
4,c,scalar,double,67108864,32
4,cpp,avx2,double,32768,65536
4,cpp,avx2,double,262144,8192
4,cpp,avx2,double,1048576,2048
4,cpp,avx2,double,8388608,256
4,cpp,avx2,double,67108864,32
4,go,scalar,float,32768,65536
4,go,scalar,float,262144,8192
4,go,scalar,float,1048576,2048
4,go,scalar,float,8388608,256
4,go,scalar,float,67108864,32
4,cpp,avx2,float,32768,65536
4,cpp,avx2,float,262144,8192
4,cpp,avx2,float,1048576,2048
4,cpp,avx2,float,8388608,256
4,cpp,avx2,float,67108864,32
4,cpp,scalar,float,32768,65536
4,cpp,scalar,float,262144,8192
4,cpp,scalar,float,1048576,2048
4,cpp,scalar,float,8388608,256
4,cpp,scalar,float,67108864,32
4,cpp,scalar,string16,32768,65536
4,cpp,scalar,string16,262144,8192
4,cpp,scalar,string16,1048576,2048
4,cpp,scalar,string16,8388608,256
4,cpp,scalar,string16,67108864,32
4,go,scalar,int,32768,65536
4,go,scalar,int,262144,8192
4,go,scalar,int,1048576,2048
4,go,scalar,int,8388608,256
4,go,scalar,int,67108864,32
4,rust,scalar,double,32768,65536
4,rust,scalar,double,262144,8192
4,rust,scalar,double,1048576,2048
4,rust,scalar,double,8388608,256
4,rust,scalar,double,67108864,32
4,go,scalar,string16,32768,65536
4,go,scalar,string16,262144,8192
4,go,scalar,string16,1048576,2048
4,go,scalar,string16,8388608,256
4,go,scalar,string16,67108864,32
4,cpp,avx2,string16,32768,65536
4,cpp,avx2,string16,262144,8192
4,cpp,avx2,string16,1048576,2048
4,cpp,avx2,string16,8388608,256
4,cpp,avx2,string16,67108864,32
4,go,scalar,short,32768,65536
4,go,scalar,short,262144,8192
4,go,scalar,short,1048576,2048
4,go,scalar,short,8388608,256
4,go,scalar,short,67108864,32
4,cpp,avx2,int,32768,65536
4,cpp,avx2,int,262144,8192
4,cpp,avx2,int,1048576,2048
4,cpp,avx2,int,8388608,256
4,cpp,avx2,int,67108864,32
4,cpp,scalar,double,32768,65536
4,cpp,scalar,double,262144,8192
4,cpp,scalar,double,1048576,2048
4,cpp,scalar,double,8388608,256
4,cpp,scalar,double,67108864,32
4,c,avx2,string16,32768,65536
4,c,avx2,string16,262144,8192
4,c,avx2,string16,1048576,2048
4,c,avx2,string16,8388608,256
4,c,avx2,string16,67108864,32
4,c,scalar,int,32768,65536
4,c,scalar,int,262144,8192
4,c,scalar,int,1048576,2048
4,c,scalar,int,8388608,256
4,c,scalar,int,67108864,32
4,c,avx2,short,32768,65536
4,c,avx2,short,262144,8192
4,c,avx2,short,1048576,2048
4,c,avx2,short,8388608,256
4,c,avx2,short,67108864,32
4,go,scalar,double,32768,65536
4,go,scalar,double,262144,8192
4,go,scalar,double,1048576,2048
4,go,scalar,double,8388608,256
4,go,scalar,double,67108864,32
4,rust,scalar,float,32768,65536
4,rust,scalar,float,262144,8192
4,rust,scalar,float,1048576,2048
4,rust,scalar,float,8388608,256
4,rust,scalar,float,67108864,32
4,cpp,scalar,int,32768,65536
4,cpp,scalar,int,262144,8192
4,cpp,scalar,int,1048576,2048
4,cpp,scalar,int,8388608,256
4,cpp,scalar,int,67108864,32
4,c,avx2,float,32768,65536
4,c,avx2,float,262144,8192
4,c,avx2,float,1048576,2048
4,c,avx2,float,8388608,256
4,c,avx2,float,67108864,32
4,c,avx2,int,32768,65536
4,c,avx2,int,262144,8192
4,c,avx2,int,1048576,2048
4,c,avx2,int,8388608,256
4,c,avx2,int,67108864,32
5,go,scalar,double,32768,65536
5,go,scalar,double,262144,8192
5,go,scalar,double,1048576,2048
5,go,scalar,double,8388608,256
5,go,scalar,double,67108864,32
5,go,scalar,float,32768,65536
5,go,scalar,float,262144,8192
5,go,scalar,float,1048576,2048
5,go,scalar,float,8388608,256
5,go,scalar,float,67108864,32
5,cpp,scalar,float,32768,65536
5,cpp,scalar,float,262144,8192
5,cpp,scalar,float,1048576,2048
5,cpp,scalar,float,8388608,256
5,cpp,scalar,float,67108864,32
5,go,scalar,int,32768,65536
5,go,scalar,int,262144,8192
5,go,scalar,int,1048576,2048
5,go,scalar,int,8388608,256
5,go,scalar,int,67108864,32
5,c,scalar,double,32768,65536
5,c,scalar,double,262144,8192
5,c,scalar,double,1048576,2048
5,c,scalar,double,8388608,256
5,c,scalar,double,67108864,32
5,cpp,avx2,short,32768,65536
5,cpp,avx2,short,262144,8192
5,cpp,avx2,short,1048576,2048
5,cpp,avx2,short,8388608,256
5,cpp,avx2,short,67108864,32
5,rust,scalar,string16,32768,65536
5,rust,scalar,string16,262144,8192
5,rust,scalar,string16,1048576,2048
5,rust,scalar,string16,8388608,256
5,rust,scalar,string16,67108864,32
5,cpp,avx2,string16,32768,65536
5,cpp,avx2,string16,262144,8192
5,cpp,avx2,string16,1048576,2048
5,cpp,avx2,string16,8388608,256
5,cpp,avx2,string16,67108864,32
5,rust,scalar,float,32768,65536
5,rust,scalar,float,262144,8192
5,rust,scalar,float,1048576,2048
5,rust,scalar,float,8388608,256
5,rust,scalar,float,67108864,32
5,cpp,scalar,string16,32768,65536
5,cpp,scalar,string16,262144,8192
5,cpp,scalar,string16,1048576,2048
5,cpp,scalar,string16,8388608,256
5,cpp,scalar,string16,67108864,32
5,c,scalar,int,32768,65536
5,c,scalar,int,262144,8192
5,c,scalar,int,1048576,2048
5,c,scalar,int,8388608,256
5,c,scalar,int,67108864,32
5,rust,scalar,int,32768,65536
5,rust,scalar,int,262144,8192
5,rust,scalar,int,1048576,2048
5,rust,scalar,int,8388608,256
5,rust,scalar,int,67108864,32
5,cpp,scalar,double,32768,65536
5,cpp,scalar,double,262144,8192
5,cpp,scalar,double,1048576,2048
5,cpp,scalar,double,8388608,256
5,cpp,scalar,double,67108864,32
5,cpp,avx2,int,32768,65536
5,cpp,avx2,int,262144,8192
5,cpp,avx2,int,1048576,2048
5,cpp,avx2,int,8388608,256
5,cpp,avx2,int,67108864,32
5,c,avx2,int,32768,65536
5,c,avx2,int,262144,8192
5,c,avx2,int,1048576,2048
5,c,avx2,int,8388608,256
5,c,avx2,int,67108864,32
5,c,avx2,short,32768,65536
5,c,avx2,short,262144,8192
5,c,avx2,short,1048576,2048
5,c,avx2,short,8388608,256
5,c,avx2,short,67108864,32
5,c,scalar,float,32768,65536
5,c,scalar,float,262144,8192
5,c,scalar,float,1048576,2048
5,c,scalar,float,8388608,256
5,c,scalar,float,67108864,32
5,c,scalar,string16,32768,65536
5,c,scalar,string16,262144,8192
5,c,scalar,string16,1048576,2048
5,c,scalar,string16,8388608,256
5,c,scalar,string16,67108864,32
5,c,avx2,string16,32768,65536
5,c,avx2,string16,262144,8192
5,c,avx2,string16,1048576,2048
5,c,avx2,string16,8388608,256
5,c,avx2,string16,67108864,32
5,c,scalar,short,32768,65536
5,c,scalar,short,262144,8192
5,c,scalar,short,1048576,2048
5,c,scalar,short,8388608,256
5,c,scalar,short,67108864,32
5,rust,scalar,short,32768,65536
5,rust,scalar,short,262144,8192
5,rust,scalar,short,1048576,2048
5,rust,scalar,short,8388608,256
5,rust,scalar,short,67108864,32
5,rust,scalar,double,32768,65536
5,rust,scalar,double,262144,8192
5,rust,scalar,double,1048576,2048
5,rust,scalar,double,8388608,256
5,rust,scalar,double,67108864,32
5,go,scalar,short,32768,65536
5,go,scalar,short,262144,8192
5,go,scalar,short,1048576,2048
5,go,scalar,short,8388608,256
5,go,scalar,short,67108864,32
5,cpp,avx2,double,32768,65536
5,cpp,avx2,double,262144,8192
5,cpp,avx2,double,1048576,2048
5,cpp,avx2,double,8388608,256
5,cpp,avx2,double,67108864,32
5,cpp,avx2,float,32768,65536
5,cpp,avx2,float,262144,8192
5,cpp,avx2,float,1048576,2048
5,cpp,avx2,float,8388608,256
5,cpp,avx2,float,67108864,32
5,c,avx2,float,32768,65536
5,c,avx2,float,262144,8192
5,c,avx2,float,1048576,2048
5,c,avx2,float,8388608,256
5,c,avx2,float,67108864,32
5,go,scalar,string16,32768,65536
5,go,scalar,string16,262144,8192
5,go,scalar,string16,1048576,2048
5,go,scalar,string16,8388608,256
5,go,scalar,string16,67108864,32
5,c,avx2,double,32768,65536
5,c,avx2,double,262144,8192
5,c,avx2,double,1048576,2048
5,c,avx2,double,8388608,256
5,c,avx2,double,67108864,32
5,cpp,scalar,int,32768,65536
5,cpp,scalar,int,262144,8192
5,cpp,scalar,int,1048576,2048
5,cpp,scalar,int,8388608,256
5,cpp,scalar,int,67108864,32
5,cpp,scalar,short,32768,65536
5,cpp,scalar,short,262144,8192
5,cpp,scalar,short,1048576,2048
5,cpp,scalar,short,8388608,256
5,cpp,scalar,short,67108864,32
6,c,scalar,short,32768,65536
6,c,scalar,short,262144,8192
6,c,scalar,short,1048576,2048
6,c,scalar,short,8388608,256
6,c,scalar,short,67108864,32
6,go,scalar,double,32768,65536
6,go,scalar,double,262144,8192
6,go,scalar,double,1048576,2048
6,go,scalar,double,8388608,256
6,go,scalar,double,67108864,32
6,c,scalar,int,32768,65536
6,c,scalar,int,262144,8192
6,c,scalar,int,1048576,2048
6,c,scalar,int,8388608,256
6,c,scalar,int,67108864,32
6,c,scalar,float,32768,65536
6,c,scalar,float,262144,8192
6,c,scalar,float,1048576,2048
6,c,scalar,float,8388608,256
6,c,scalar,float,67108864,32
6,cpp,avx2,short,32768,65536
6,cpp,avx2,short,262144,8192
6,cpp,avx2,short,1048576,2048
6,cpp,avx2,short,8388608,256
6,cpp,avx2,short,67108864,32
6,cpp,avx2,int,32768,65536
6,cpp,avx2,int,262144,8192
6,cpp,avx2,int,1048576,2048
6,cpp,avx2,int,8388608,256
6,cpp,avx2,int,67108864,32
6,rust,scalar,double,32768,65536
6,rust,scalar,double,262144,8192
6,rust,scalar,double,1048576,2048
6,rust,scalar,double,8388608,256
6,rust,scalar,double,67108864,32
6,cpp,scalar,string16,32768,65536
6,cpp,scalar,string16,262144,8192
6,cpp,scalar,string16,1048576,2048
6,cpp,scalar,string16,8388608,256
6,cpp,scalar,string16,67108864,32
6,c,scalar,double,32768,65536
6,c,scalar,double,262144,8192
6,c,scalar,double,1048576,2048
6,c,scalar,double,8388608,256
6,c,scalar,double,67108864,32
6,cpp,avx2,float,32768,65536
6,cpp,avx2,float,262144,8192
6,cpp,avx2,float,1048576,2048
6,cpp,avx2,float,8388608,256
6,cpp,avx2,float,67108864,32
6,cpp,scalar,short,32768,65536
6,cpp,scalar,short,262144,8192
6,cpp,scalar,short,1048576,2048
6,cpp,scalar,short,8388608,256
6,cpp,scalar,short,67108864,32
6,go,scalar,string16,32768,65536
6,go,scalar,string16,262144,8192
6,go,scalar,string16,1048576,2048
6,go,scalar,string16,8388608,256
