mode,state,perf_profile,round,repetition,iterations,target_instructions_per_iteration,dynamic_target_instructions,tsc_ticks,wall_ns,cpu_before,cpu_after,minor_faults,major_faults,checksum,cycles,cycles_enabled,cycles_running,instructions,instructions_enabled,instructions_running,ref_cycles,ref_cycles_enabled,ref_cycles_running,branches,branches_enabled,branches_running,branch_misses,branch_misses_enabled,branch_misses_running,uops_issued_any,uops_issued_any_enabled,uops_issued_any_running,uops_retired_all,uops_retired_all_enabled,uops_retired_all_running,port0_active_cycles,port0_active_cycles_enabled,port0_active_cycles_running,port1_active_cycles,port1_active_cycles_enabled,port1_active_cycles_running,port5_active_cycles,port5_active_cycles_enabled,port5_active_cycles_running
imul_latency,warm,basic,1,0,1000000000,1,1000000000,2133674038,972098262,4,4,0,0,9215150800219179009,3009684675,972121747,972121747,3000000674,972121135,972121135,2086100676,972120692,972120692,1000000272,972119622,972119622,28,972117873,972117873,,,,,,,,,,,,,,,
add_throughput_2,warm,basic,1,0,1000000000,2,2000000000,710205518,323568394,4,4,0,0,6000000002,1006223934,323587931,323587931,4000000681,323587399,323587399,693486662,323586538,323586538,1000000272,323585121,323585121,27,323582945,323582945,,,,,,,,,,,,,,,
empty,warm,basic,1,0,1000,0,0,768,400,4,4,0,0,0,2544,18313,18313,2674,17525,17525,2244,16428,16428,1272,14768,14768,21,12531,12531,,,,,,,,,,,,,,,
page_state_probe,warm,basic,1,0,1,0,0,26297,12130,4,4,3,0,130560,39462,53058,53058,6842,52054,52054,31064,50578,50578,1305,48821,48821,53,56227,56227,,,,,,,,,,,,,,,
timer_only,warm,none,1,0,1,0,0,70,130,4,4,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_zero_control,warm,basic,1,0,1000000000,3,3000000000,3544547938,1614889751,4,4,0,0,1,5016054558,1614912734,1614912734,5000000676,1614913388,1614913388,3465497794,1614913198,1614913198,1000000272,1614921606,1614921606,25,1614919716,1614919716,,,,,,,,,,,,,,,
empty,warm,basic,1,0,10000000,0,0,7296746,3324453,4,4,0,0,0,10035864,3343725,3343725,20000674,3343447,3343447,7146436,3342441,3342441,10000272,3340910,3340910,21,3338795,3338795,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,100000,1,100000,71068,32435,4,4,0,0,300001,101563,51081,51081,300674,50286,50286,72468,49105,49105,100272,47438,47438,20,45103,45103,,,,,,,,,,,,,,,
page_state_probe,cache_evicted,basic,1,0,1,0,0,37932,17666,4,4,3,0,130560,61544,57645,57645,6842,54418,54418,45144,51691,51691,1305,49571,49571,58,46921,46921,,,,,,,,,,,,,,,
xor_break,warm,basic,1,0,1000000000,3,3000000000,707148650,322175939,4,4,0,0,1,1003252083,322198034,322198034,5000000674,322197394,322197394,691352310,322196852,322196852,1000000272,322195670,322195670,25,322193646,322193646,,,,,,,,,,,,,,,
add_latency,warm,basic,1,0,1000,1,1000,746,386,4,4,0,0,3001,2238,18208,18208,3674,17352,17352,1980,16227,16227,1272,14669,14669,21,12437,12437,,,,,,,,,,,,,,,
imul_throughput_8,warm,basic,1,0,1000000000,8,8000000000,5673139946,2584672274,4,4,0,0,18380974180624777224,8025990633,2584695666,2584695666,10000000702,2584695553,2584695553,5545245706,2584695110,2584695110,1000000272,2584693628,2584693628,32,2584691449,2584691449,,,,,,,,,,,,,,,
add_latency,warm,none,1,0,1000000000,1,1000000000,718316402,327264000,4,4,0,0,3000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xor_throughput,warm,basic,1,0,1000000000,8,8000000000,1648034912,750841894,4,4,0,0,0,2340741787,750864287,750864287,10000000703,750863508,750863508,1611856026,750862755,750862755,1000000272,750861831,750861831,23,750859671,750859671,,,,,,,,,,,,,,,
shift_throughput,warm,basic,1,0,1000000000,8,8000000000,3194884244,1455583561,4,4,0,0,0,4514766657,1455607267,1455607267,10000000702,1455606351,1455606351,3122215536,1455606069,1455606069,1000000272,1455605014,1455605014,22,1455603108,1455603108,,,,,,,,,,,,,,,
shift_latency,warm,basic,1,0,1000000000,1,1000000000,707373414,322278360,4,4,0,0,0,1003537115,322301033,322301033,3000000676,322300341,322300341,691322170,322299789,322299789,1000000272,322298561,322298561,24,322296904,322296904,,,,,,,,,,,,,,,
add_throughput_1,warm,basic,2,0,1000000000,1,1000000000,707214282,322205647,4,4,0,0,3000000001,1003247264,322227554,322227554,3000000676,322225982,322225982,691256808,322225170,322225170,1000000272,322223754,322223754,27,322221686,322221686,,,,,,,,,,,,,,,
