variant,implementation,value_type,footprint_bytes,repetitions,median_ns_per_element,p10_ns_per_element,p90_ns_per_element,min_ns_per_element,max_ns_per_element
cpp,scalar,short,32768,15,0.581219000,0.580601000,0.585971000,0.580583000,0.593710000
cpp,scalar,short,262144,15,0.590265000,0.590041000,0.590484000,0.589759000,0.590750000
cpp,scalar,short,1048576,15,0.592562000,0.592384000,0.592727000,0.592383000,0.592748000
cpp,scalar,short,8388608,15,0.620438000,0.619254000,0.625589000,0.618517000,0.626443000
cpp,scalar,short,67108864,15,0.628483000,0.628125000,0.629042000,0.628124000,0.629500000
cpp,scalar,string16,32768,15,6.839320000,6.836510000,6.842880000,6.836250000,6.848670000
cpp,scalar,string16,262144,15,6.837830000,6.837240000,6.838860000,6.836940000,6.839000000
cpp,scalar,string16,1048576,15,6.852470000,6.851890000,6.855330000,6.851260000,6.878140000
cpp,scalar,string16,8388608,15,7.064610000,7.039850000,7.091070000,7.019980000,7.096270000
cpp,scalar,string16,67108864,15,7.116800000,7.113620000,7.155390000,7.112090000,7.165380000
cpp_native,scalar,double,32768,15,1.367490000,1.366830000,1.367620000,1.366820000,1.367740000
cpp_native,scalar,double,262144,15,1.366860000,1.366820000,1.367510000,1.366810000,1.367550000
cpp_native,scalar,double,1048576,15,1.367610000,1.367030000,1.368760000,1.366840000,1.368960000
cpp_native,scalar,double,8388608,15,1.425360000,1.422790000,1.433280000,1.420850000,1.434190000
cpp_native,scalar,double,67108864,15,1.448240000,1.447320000,1.449650000,1.446610000,1.452370000
cpp_native,scalar,float,32768,15,1.367260000,1.366960000,1.370170000,1.366920000,1.372110000
cpp_native,scalar,float,262144,15,1.367170000,1.366840000,1.367270000,1.366840000,1.367320000
cpp_native,scalar,float,1048576,15,1.367200000,1.366870000,1.367330000,1.366870000,1.367330000
cpp_native,scalar,float,8388608,15,1.388900000,1.388130000,1.407690000,1.387750000,1.409310000
cpp_native,scalar,float,67108864,15,1.404080000,1.403240000,1.404760000,1.403120000,1.410000000
cpp_native,scalar,int,32768,15,0.581270000,0.581020000,0.582086000,0.580994000,0.583190000
cpp_native,scalar,int,262144,15,0.590586000,0.590130000,0.591444000,0.589711000,0.591591000
cpp_native,scalar,int,1048576,15,0.595258000,0.595001000,0.595980000,0.594900000,0.596307000
cpp_native,scalar,int,8388608,15,0.651771000,0.650546000,0.682428000,0.649164000,0.685697000
cpp_native,scalar,int,67108864,15,0.667775000,0.667388000,0.670090000,0.666710000,0.670443000
cpp_native,scalar,short,32768,15,0.581276000,0.580782000,0.582037000,0.580553000,0.586242000
cpp_native,scalar,short,262144,15,0.590397000,0.590209000,0.590610000,0.589997000,0.590647000
cpp_native,scalar,short,1048576,15,0.592650000,0.592506000,0.592851000,0.592479000,0.594273000
cpp_native,scalar,short,8388608,15,0.622065000,0.617743000,0.625088000,0.617218000,0.626659000
cpp_native,scalar,short,67108864,15,0.628592000,0.628254000,0.629194000,0.628035000,0.632305000
cpp_native,scalar,string16,32768,15,4.145330000,4.143680000,4.175170000,4.143430000,4.182400000
cpp_native,scalar,string16,262144,15,4.971780000,4.955510000,4.981180000,4.954010000,4.986650000
cpp_native,scalar,string16,1048576,15,5.017860000,5.016950000,5.022210000,5.016570000,5.036380000
cpp_native,scalar,string16,8388608,15,5.246780000,5.214180000,5.310840000,5.211420000,5.330740000
cpp_native,scalar,string16,67108864,15,5.287870000,5.285830000,5.291830000,5.283510000,5.300240000
cpp_unroll,u1,double,32768,15,1.367290000,1.366920000,1.367700000,1.366860000,1.368120000
cpp_unroll,u1,double,262144,15,1.367040000,1.366840000,1.367570000,1.366830000,1.367630000
cpp_unroll,u1,double,1048576,15,1.367080000,1.367010000,1.367760000,1.366900000,1.368260000
cpp_unroll,u1,double,8388608,15,1.423020000,1.421110000,1.436850000,1.419730000,1.437580000
cpp_unroll,u1,double,67108864,15,1.443240000,1.442260000,1.444050000,1.442020000,1.444900000
cpp_unroll,u1,float,32768,15,1.367580000,1.367120000,1.368340000,1.366990000,1.372600000
cpp_unroll,u1,float,262144,15,1.367160000,1.366830000,1.367220000,1.366810000,1.367220000
cpp_unroll,u1,float,1048576,15,1.367190000,1.367050000,1.367440000,1.366840000,1.367520000
cpp_unroll,u1,float,8388608,15,1.410270000,1.403850000,1.420630000,1.402750000,1.430260000
cpp_unroll,u1,float,67108864,15,1.426230000,1.425850000,1.427230000,1.425700000,1.430050000
cpp_unroll,u2,double,32768,15,1.367480000,1.366870000,1.367700000,1.366810000,1.368180000
cpp_unroll,u2,double,262144,15,1.366930000,1.366860000,1.367550000,1.366850000,1.367580000
cpp_unroll,u2,double,1048576,15,1.367040000,1.366890000,1.367770000,1.366870000,1.368120000
cpp_unroll,u2,double,8388608,15,1.425890000,1.424050000,1.433660000,1.420490000,1.434620000
cpp_unroll,u2,double,67108864,15,1.447950000,1.447420000,1.449220000,1.446810000,1.449230000
cpp_unroll,u2,float,32768,15,1.368100000,1.367110000,1.370500000,1.366960000,1.377280000
cpp_unroll,u2,float,262144,15,1.367170000,1.366860000,1.367230000,1.366840000,1.367460000
