round,sample_id,variant,implementation,value_type,footprint_bytes,passes,shuffle_key
1,r01-o068-cpp_unroll-u8-float-1048576,cpp_unroll,u8,float,1048576,2048,0480701124
1,r01-o069-c-avx2-short-32768,c,avx2,short,32768,65536,0483861763
1,r01-o070-clangpp-scalar-short-32768,clangpp,scalar,short,32768,65536,0486297619
1,r01-o071-cpp_native-scalar-string16-1048576,cpp_native,scalar,string16,1048576,2048,0488378937
1,r01-o072-cpp-scalar-int-32768,cpp,scalar,int,32768,65536,0504662041
1,r01-o073-cpp_unroll-u2-double-262144,cpp_unroll,u2,double,262144,8192,0512153701
1,r01-o074-cpp_native-scalar-string16-32768,cpp_native,scalar,string16,32768,65536,0527699057
1,r01-o075-c-scalar-string16-67108864,c,scalar,string16,67108864,32,0547450106
1,r01-o076-cpp-avx2-double-1048576,cpp,avx2,double,1048576,2048,0553215988
1,r01-o077-rust-avx2-int-262144,rust,avx2,int,262144,8192,0560921545
1,r01-o078-rust_unroll-u8-float-32768,rust_unroll,u8,float,32768,65536,0583860454
1,r01-o079-cpp_unroll-u8-double-8388608,cpp_unroll,u8,double,8388608,256,0586043083
1,r01-o080-rust-avx2-string16-67108864,rust,avx2,string16,67108864,32,0595282595
1,r01-o081-clangpp-scalar-int-262144,clangpp,scalar,int,262144,8192,0595392952
1,r01-o082-go-scalar-short-67108864,go,scalar,short,67108864,32,0598937355
1,r01-o083-cpp_native-scalar-short-32768,cpp_native,scalar,short,32768,65536,0605790670
1,r01-o084-cpp-avx2-short-8388608,cpp,avx2,short,8388608,256,0613673119
1,r01-o085-rust-avx2-short-1048576,rust,avx2,short,1048576,2048,0619378398
1,r01-o086-go-scalar-int-32768,go,scalar,int,32768,65536,0632122134
1,r01-o087-cpp_unroll-u1-double-32768,cpp_unroll,u1,double,32768,65536,0636538033
1,r01-o088-c-avx2-string16-262144,c,avx2,string16,262144,8192,0637893283
1,r01-o089-rust_unroll-u1-double-262144,rust_unroll,u1,double,262144,8192,0639137750
1,r01-o090-cpp_native-scalar-int-32768,cpp_native,scalar,int,32768,65536,0639258454
1,r01-o091-cpp-scalar-string16-1048576,cpp,scalar,string16,1048576,2048,0648019632
1,r01-o092-rust-scalar-double-32768,rust,scalar,double,32768,65536,0667094865
1,r01-o093-c-scalar-int-32768,c,scalar,int,32768,65536,0675659617
1,r01-o094-c-avx2-float-1048576,c,avx2,float,1048576,2048,0680284564
1,r01-o095-c-scalar-string16-262144,c,scalar,string16,262144,8192,0690747436
1,r01-o096-cpp-avx2-double-262144,cpp,avx2,double,262144,8192,0711019802
1,r01-o097-rust-avx2-double-32768,rust,avx2,double,32768,65536,0711574599
1,r01-o098-cpp-scalar-int-1048576,cpp,scalar,int,1048576,2048,0721514651
1,r01-o099-cpp_native-scalar-short-1048576,cpp_native,scalar,short,1048576,2048,0726653972
1,r01-o100-c-scalar-double-8388608,c,scalar,double,8388608,256,0734576061
1,r01-o101-rust_unroll-u2-float-8388608,rust_unroll,u2,float,8388608,256,0736812110
1,r01-o102-rust-scalar-int-67108864,rust,scalar,int,67108864,32,0743463112
1,r01-o103-rust-avx2-short-8388608,rust,avx2,short,8388608,256,0747316324
1,r01-o104-rust-avx2-float-67108864,rust,avx2,float,67108864,32,0768867373
1,r01-o105-rust-avx2-int-1048576,rust,avx2,int,1048576,2048,0770077319
1,r01-o106-rust_unroll-u8-float-1048576,rust_unroll,u8,float,1048576,2048,0776635128
1,r01-o107-cpp_native-scalar-double-67108864,cpp_native,scalar,double,67108864,32,0779373295
1,r01-o108-rust-scalar-int-262144,rust,scalar,int,262144,8192,0783342881
1,r01-o109-cpp-avx2-double-67108864,cpp,avx2,double,67108864,32,0783776902
1,r01-o110-rust_unroll-u8-double-262144,rust_unroll,u8,double,262144,8192,0788997125
1,r01-o111-go-scalar-short-262144,go,scalar,short,262144,8192,0832689229
1,r01-o112-c-avx2-float-8388608,c,avx2,float,8388608,256,0843742567
1,r01-o113-cpp-scalar-short-8388608,cpp,scalar,short,8388608,256,0852245435
1,r01-o114-c-avx2-double-67108864,c,avx2,double,67108864,32,0859217108
1,r01-o115-cpp-scalar-string16-67108864,cpp,scalar,string16,67108864,32,0863335496
1,r01-o116-cpp_unroll-u1-float-1048576,cpp_unroll,u1,float,1048576,2048,0866216037
1,r01-o117-cpp-avx2-int-262144,cpp,avx2,int,262144,8192,0873278134
1,r01-o118-cpp_unroll-u8-double-32768,cpp_unroll,u8,double,32768,65536,0874998832
1,r01-o119-cpp_unroll-u2-float-8388608,cpp_unroll,u2,float,8388608,256,0882089937
1,r01-o120-rust-scalar-float-67108864,rust,scalar,float,67108864,32,0884742946
1,r01-o121-cpp-scalar-short-262144,cpp,scalar,short,262144,8192,0899601460
1,r01-o122-cpp_unroll-u2-double-67108864,cpp_unroll,u2,double,67108864,32,0900456672
1,r01-o123-c-scalar-short-67108864,c,scalar,short,67108864,32,0915574513
1,r01-o124-cpp-scalar-double-32768,cpp,scalar,double,32768,65536,0917345757
1,r01-o125-cpp-scalar-double-1048576,cpp,scalar,double,1048576,2048,0921479126
1,r01-o126-rust-scalar-string16-1048576,rust,scalar,string16,1048576,2048,0927111932
1,r01-o127-c-scalar-int-262144,c,scalar,int,262144,8192,0931225218
1,r01-o128-c-avx2-short-67108864,c,avx2,short,67108864,32,0937028243
1,r01-o129-go-scalar-double-8388608,go,scalar,double,8388608,256,0950942377
1,r01-o130-cpp-avx2-float-8388608,cpp,avx2,float,8388608,256,0965882889
1,r01-o131-rust_unroll-u2-double-262144,rust_unroll,u2,double,262144,8192,0980292987
1,r01-o132-cpp-scalar-short-32768,cpp,scalar,short,32768,65536,0989744739
1,r01-o133-clangpp-scalar-double-1048576,clangpp,scalar,double,1048576,2048,0994436203
1,r01-o134-rust-avx2-int-67108864,rust,avx2,int,67108864,32,0997336966
1,r01-o135-c-scalar-short-1048576,c,scalar,short,1048576,2048,1009857205
1,r01-o136-clangpp-scalar-float-67108864,clangpp,scalar,float,67108864,32,1022466093
1,r01-o137-c-scalar-string16-32768,c,scalar,string16,32768,65536,1028089129
1,r01-o138-cpp-avx2-int-1048576,cpp,avx2,int,1048576,2048,1052299351
1,r01-o139-go-scalar-string16-67108864,go,scalar,string16,67108864,32,1065138820
1,r01-o140-go-scalar-double-32768,go,scalar,double,32768,65536,1065174611
1,r01-o141-rust_unroll-u1-double-1048576,rust_unroll,u1,double,1048576,2048,1068257448
1,r01-o142-rust_unroll-u2-double-32768,rust_unroll,u2,double,32768,65536,1083482775
1,r01-o143-c-scalar-short-8388608,c,scalar,short,8388608,256,1085839302
1,r01-o144-cpp_unroll-u1-double-67108864,cpp_unroll,u1,double,67108864,32,1095499285
1,r01-o145-rust-scalar-double-67108864,rust,scalar,double,67108864,32,1101717317
1,r01-o146-c-avx2-float-32768,c,avx2,float,32768,65536,1104684991
1,r01-o147-rust-avx2-int-32768,rust,avx2,int,32768,65536,1108654335
1,r01-o148-go-scalar-short-8388608,go,scalar,short,8388608,256,1110835038
1,r01-o149-cpp-avx2-int-8388608,cpp,avx2,int,8388608,256,1111269630
1,r01-o150-c-avx2-string16-1048576,c,avx2,string16,1048576,2048,1126133007
1,r01-o151-cpp-scalar-string16-262144,cpp,scalar,string16,262144,8192,1133702923
1,r01-o152-cpp_unroll-u1-double-8388608,cpp_unroll,u1,double,8388608,256,1134246050
1,r01-o153-cpp_unroll-u2-double-8388608,cpp_unroll,u2,double,8388608,256,1146609693
1,r01-o154-cpp_native-scalar-double-8388608,cpp_native,scalar,double,8388608,256,1147496946
1,r01-o155-go-scalar-string16-32768,go,scalar,string16,32768,65536,1159119474
1,r01-o156-rust-scalar-string16-262144,rust,scalar,string16,262144,8192,1164805866
1,r01-o157-c-avx2-string16-32768,c,avx2,string16,32768,65536,1177790391
1,r01-o158-c-avx2-double-32768,c,avx2,double,32768,65536,1178982187
1,r01-o159-c-scalar-double-32768,c,scalar,double,32768,65536,1184574629
1,r01-o160-cpp_native-scalar-int-67108864,cpp_native,scalar,int,67108864,32,1185677436
1,r01-o161-clangpp-scalar-short-1048576,clangpp,scalar,short,1048576,2048,1194466667
1,r01-o162-cpp_native-scalar-double-262144,cpp_native,scalar,double,262144,8192,1200777745
1,r01-o163-rust-avx2-float-262144,rust,avx2,float,262144,8192,1204319351
1,r01-o164-cpp_unroll-u2-float-67108864,cpp_unroll,u2,float,67108864,32,1205079858
1,r01-o165-rust-scalar-string16-8388608,rust,scalar,string16,8388608,256,1208349739
1,r01-o166-rust_unroll-u2-double-8388608,rust_unroll,u2,double,8388608,256,1208594367
1,r01-o167-cpp_unroll-u2-double-32768,cpp_unroll,u2,double,32768,65536,1208662507
1,r01-o168-go-scalar-string16-8388608,go,scalar,string16,8388608,256,1211298759
1,r01-o169-c-scalar-string16-1048576,c,scalar,string16,1048576,2048,1238379834
1,r01-o170-c-avx2-int-262144,c,avx2,int,262144,8192,1247539865
1,r01-o171-clangpp-scalar-int-32768,clangpp,scalar,int,32768,65536,1248836959
1,r01-o172-cpp_native-scalar-string16-262144,cpp_native,scalar,string16,262144,8192,1257643380
1,r01-o173-clangpp-scalar-string16-67108864,clangpp,scalar,string16,67108864,32,1261883642
1,r01-o174-c-avx2-float-67108864,c,avx2,float,67108864,32,1270086302
1,r01-o175-rust_unroll-u1-double-32768,rust_unroll,u1,double,32768,65536,1296707029
1,r01-o176-cpp-avx2-short-32768,cpp,avx2,short,32768,65536,1308692538
1,r01-o177-rust-avx2-float-1048576,rust,avx2,float,1048576,2048,1317067831
1,r01-o178-go-scalar-string16-262144,go,scalar,string16,262144,8192,1317190516
1,r01-o179-cpp_unroll-u2-float-32768,cpp_unroll,u2,float,32768,65536,1326455092
1,r01-o180-clangpp-scalar-float-1048576,clangpp,scalar,float,1048576,2048,1333694097
1,r01-o181-cpp_native-scalar-float-32768,cpp_native,scalar,float,32768,65536,1368930477
1,r01-o182-c-avx2-string16-67108864,c,avx2,string16,67108864,32,1388414549
1,r01-o183-rust-scalar-float-1048576,rust,scalar,float,1048576,2048,1397139558
1,r01-o184-rust_unroll-u1-float-32768,rust_unroll,u1,float,32768,65536,1398206236
1,r01-o185-rust_unroll-u1-float-1048576,rust_unroll,u1,float,1048576,2048,1406125084
1,r01-o186-cpp-avx2-string16-262144,cpp,avx2,string16,262144,8192,1411730267
1,r01-o187-rust_unroll-u2-float-32768,rust_unroll,u2,float,32768,65536,1429307070
1,r01-o188-cpp_native-scalar-short-8388608,cpp_native,scalar,short,8388608,256,1463475961
1,r01-o189-cpp-avx2-short-1048576,cpp,avx2,short,1048576,2048,1464471015
1,r01-o190-rust-avx2-string16-262144,rust,avx2,string16,262144,8192,1465167593
1,r01-o191-cpp_unroll-u8-double-1048576,cpp_unroll,u8,double,1048576,2048,1465983037
1,r01-o192-cpp-scalar-float-1048576,cpp,scalar,float,1048576,2048,1472453790
1,r01-o193-cpp_native-scalar-double-32768,cpp_native,scalar,double,32768,65536,1475427243
1,r01-o194-rust-scalar-int-8388608,rust,scalar,int,8388608,256,1482936253
1,r01-o195-clangpp-scalar-float-8388608,clangpp,scalar,float,8388608,256,1482986521
1,r01-o196-cpp-scalar-string16-32768,cpp,scalar,string16,32768,65536,1489039203
1,r01-o197-rust_unroll-u1-float-67108864,rust_unroll,u1,float,67108864,32,1491670123
1,r01-o198-clangpp-scalar-double-32768,clangpp,scalar,double,32768,65536,1509794799
1,r01-o199-rust_unroll-u8-double-67108864,rust_unroll,u8,double,67108864,32,1517631778
1,r01-o200-rust_unroll-u2-double-67108864,rust_unroll,u2,double,67108864,32,1517935055
1,r01-o201-cpp-avx2-short-262144,cpp,avx2,short,262144,8192,1518541646
1,r01-o202-cpp_unroll-u8-float-32768,cpp_unroll,u8,float,32768,65536,1520279229
1,r01-o203-clangpp-scalar-string16-262144,clangpp,scalar,string16,262144,8192,1535985820
1,r01-o204-cpp-scalar-short-67108864,cpp,scalar,short,67108864,32,1542650953
1,r01-o205-cpp-scalar-float-8388608,cpp,scalar,float,8388608,256,1550632331
1,r01-o206-cpp_unroll-u1-float-32768,cpp_unroll,u1,float,32768,65536,1554946385
1,r01-o207-go-scalar-string16-1048576,go,scalar,string16,1048576,2048,1555061107
1,r01-o208-rust-avx2-double-262144,rust,avx2,double,262144,8192,1564018211
1,r01-o209-rust-avx2-string16-32768,rust,avx2,string16,32768,65536,1565654527
1,r01-o210-cpp_native-scalar-float-262144,cpp_native,scalar,float,262144,8192,1571237077
1,r01-o211-cpp_unroll-u8-float-262144,cpp_unroll,u8,float,262144,8192,1587477775
1,r01-o212-rust_unroll-u2-float-1048576,rust_unroll,u2,float,1048576,2048,1589574020
1,r01-o213-cpp_unroll-u1-float-8388608,cpp_unroll,u1,float,8388608,256,1607714937
1,r01-o214-rust-avx2-int-8388608,rust,avx2,int,8388608,256,1607819526
1,r01-o215-cpp_native-scalar-string16-8388608,cpp_native,scalar,string16,8388608,256,1611674808
1,r01-o216-c-scalar-double-67108864,c,scalar,double,67108864,32,1618544914
1,r01-o217-c-avx2-short-1048576,c,avx2,short,1048576,2048,1620869172
1,r01-o218-cpp-scalar-int-262144,cpp,scalar,int,262144,8192,1634373190
1,r01-o219-c-avx2-double-8388608,c,avx2,double,8388608,256,1664894859
1,r01-o220-c-scalar-short-32768,c,scalar,short,32768,65536,1669685219
1,r01-o221-cpp-avx2-string16-1048576,cpp,avx2,string16,1048576,2048,1680631753
1,r01-o222-cpp_native-scalar-int-8388608,cpp_native,scalar,int,8388608,256,1683809052
1,r01-o223-rust_unroll-u1-float-8388608,rust_unroll,u1,float,8388608,256,1695782682
1,r01-o224-go-scalar-float-67108864,go,scalar,float,67108864,32,1696235865
1,r01-o225-rust_unroll-u1-float-262144,rust_unroll,u1,float,262144,8192,1697160040
1,r01-o226-clangpp-scalar-string16-1048576,clangpp,scalar,string16,1048576,2048,1698604545
1,r01-o227-c-scalar-double-262144,c,scalar,double,262144,8192,1702331437
1,r01-o228-c-avx2-short-8388608,c,avx2,short,8388608,256,1704090461
1,r01-o229-go-scalar-int-262144,go,scalar,int,262144,8192,1719873738
1,r01-o230-clangpp-scalar-float-32768,clangpp,scalar,float,32768,65536,1743835737
1,r01-o231-rust-scalar-float-8388608,rust,scalar,float,8388608,256,1747153830
1,r01-o232-cpp_native-scalar-float-67108864,cpp_native,scalar,float,67108864,32,1772262899
1,r01-o233-cpp-avx2-float-32768,cpp,avx2,float,32768,65536,1773834406
1,r01-o234-clangpp-scalar-float-262144,clangpp,scalar,float,262144,8192,1778349268
1,r01-o235-rust-avx2-string16-8388608,rust,avx2,string16,8388608,256,1800578006
1,r01-o236-c-scalar-float-262144,c,scalar,float,262144,8192,1804564416
1,r01-o237-cpp_native-scalar-float-8388608,cpp_native,scalar,float,8388608,256,1808966146
1,r01-o238-rust-scalar-short-1048576,rust,scalar,short,1048576,2048,1827880444
1,r01-o239-c-avx2-double-1048576,c,avx2,double,1048576,2048,1840728404
1,r01-o240-clangpp-scalar-double-67108864,clangpp,scalar,double,67108864,32,1842628967
1,r01-o241-c-avx2-int-32768,c,avx2,int,32768,65536,1859093331
1,r01-o242-cpp-scalar-int-67108864,cpp,scalar,int,67108864,32,1862811315
1,r01-o243-clangpp-scalar-int-67108864,clangpp,scalar,int,67108864,32,1874384478
1,r01-o244-rust_unroll-u2-float-262144,rust_unroll,u2,float,262144,8192,1874448801
1,r01-o245-clangpp-scalar-double-8388608,clangpp,scalar,double,8388608,256,1875477269
1,r01-o246-go-scalar-float-1048576,go,scalar,float,1048576,2048,1877483142
1,r01-o247-rust-scalar-short-32768,rust,scalar,short,32768,65536,1880207291
1,r01-o248-cpp_unroll-u8-float-67108864,cpp_unroll,u8,float,67108864,32,1889243585
1,r01-o249-rust-scalar-float-32768,rust,scalar,float,32768,65536,1892430246
1,r01-o250-cpp-scalar-float-262144,cpp,scalar,float,262144,8192,1895489232
1,r01-o251-c-scalar-float-1048576,c,scalar,float,1048576,2048,1897235122
1,r01-o252-rust-scalar-short-67108864,rust,scalar,short,67108864,32,1921582486
1,r01-o253-c-scalar-double-1048576,c,scalar,double,1048576,2048,1926526619
1,r01-o254-rust-avx2-double-1048576,rust,avx2,double,1048576,2048,1935452896
1,r01-o255-rust_unroll-u8-double-8388608,rust_unroll,u8,double,8388608,256,1945450271
1,r01-o256-clangpp-scalar-int-8388608,clangpp,scalar,int,8388608,256,1957069048
1,r01-o257-rust-scalar-double-262144,rust,scalar,double,262144,8192,1966425297
1,r01-o258-cpp-avx2-float-1048576,cpp,avx2,float,1048576,2048,1969595863
1,r01-o259-cpp-scalar-double-67108864,cpp,scalar,double,67108864,32,1972208022
1,r01-o260-cpp-scalar-float-32768,cpp,scalar,float,32768,65536,1972729286
1,r01-o261-cpp_unroll-u1-double-1048576,cpp_unroll,u1,double,1048576,2048,1973469813
1,r01-o262-cpp_native-scalar-short-67108864,cpp_native,scalar,short,67108864,32,1973545366
1,r01-o263-cpp_native-scalar-short-262144,cpp_native,scalar,short,262144,8192,1984094018
1,r01-o264-rust-scalar-float-262144,rust,scalar,float,262144,8192,1988512227
1,r01-o265-go-scalar-double-262144,go,scalar,double,262144,8192,1990171107
1,r01-o266-go-scalar-float-32768,go,scalar,float,32768,65536,1991599849
1,r01-o267-c-scalar-float-8388608,c,scalar,float,8388608,256,1996447747
1,r01-o268-rust-scalar-int-1048576,rust,scalar,int,1048576,2048,1999636022
1,r01-o269-go-scalar-double-1048576,go,scalar,double,1048576,2048,2016041099
1,r01-o270-rust-avx2-string16-1048576,rust,avx2,string16,1048576,2048,2025935052
1,r01-o271-go-scalar-float-8388608,go,scalar,float,8388608,256,2031360435
1,r01-o272-rust-scalar-int-32768,rust,scalar,int,32768,65536,2032498213
1,r01-o273-rust-avx2-double-67108864,rust,avx2,double,67108864,32,2037396971
1,r01-o274-cpp-scalar-double-8388608,cpp,scalar,double,8388608,256,2037594482
1,r01-o275-rust_unroll-u2-double-1048576,rust_unroll,u2,double,1048576,2048,2068097479
1,r01-o276-rust-avx2-float-8388608,rust,avx2,float,8388608,256,2075384413
1,r01-o277-clangpp-scalar-short-262144,clangpp,scalar,short,262144,8192,2076105039
1,r01-o278-cpp_unroll-u2-float-262144,cpp_unroll,u2,float,262144,8192,2088810627
1,r01-o279-rust_unroll-u8-float-262144,rust_unroll,u8,float,262144,8192,2100075453
1,r01-o280-cpp_native-scalar-int-1048576,cpp_native,scalar,int,1048576,2048,2103030459
1,r01-o281-rust-scalar-short-8388608,rust,scalar,short,8388608,256,2103791682
1,r01-o282-c-scalar-int-67108864,c,scalar,int,67108864,32,2107927778
1,r01-o283-cpp_unroll-u1-float-262144,cpp_unroll,u1,float,262144,8192,2116004038
1,r01-o284-rust-avx2-double-8388608,rust,avx2,double,8388608,256,2118163728
1,r01-o285-c-scalar-int-8388608,c,scalar,int,8388608,256,2127552172
2,r02-o001-c-scalar-string16-67108864,c,scalar,string16,67108864,32,0001284691
2,r02-o002-cpp-scalar-float-1048576,cpp,scalar,float,1048576,2048,0022116819
2,r02-o003-c-scalar-int-67108864,c,scalar,int,67108864,32,0026188702
2,r02-o004-go-scalar-short-32768,go,scalar,short,32768,65536,0044830621
2,r02-o005-cpp-avx2-double-262144,cpp,avx2,double,262144,8192,0044952000
2,r02-o006-cpp_native-scalar-int-262144,cpp_native,scalar,int,262144,8192,0049768350
2,r02-o007-cpp-scalar-int-67108864,cpp,scalar,int,67108864,32,0056671340
2,r02-o008-c-avx2-int-8388608,c,avx2,int,8388608,256,0075515300
2,r02-o009-go-scalar-float-67108864,go,scalar,float,67108864,32,0082018332
2,r02-o010-cpp_unroll-u8-float-1048576,cpp_unroll,u8,float,1048576,2048,0084121240
2,r02-o011-c-avx2-double-32768,c,avx2,double,32768,65536,0086325478
2,r02-o012-rust-scalar-string16-67108864,rust,scalar,string16,67108864,32,0106374541
2,r02-o013-go-scalar-string16-8388608,go,scalar,string16,8388608,256,0111297920
2,r02-o014-clangpp-scalar-double-8388608,clangpp,scalar,double,8388608,256,0123730744
2,r02-o015-clangpp-scalar-int-8388608,clangpp,scalar,int,8388608,256,0126068791
2,r02-o016-go-scalar-int-32768,go,scalar,int,32768,65536,0127321168
2,r02-o017-rust-scalar-int-67108864,rust,scalar,int,67108864,32,0127847648
2,r02-o018-cpp-avx2-float-1048576,cpp,avx2,float,1048576,2048,0129876232
2,r02-o019-cpp_unroll-u8-float-67108864,cpp_unroll,u8,float,67108864,32,0133545915
2,r02-o020-c-scalar-short-8388608,c,scalar,short,8388608,256,0135442109
2,r02-o021-rust_unroll-u2-float-1048576,rust_unroll,u2,float,1048576,2048,0138600126
2,r02-o022-cpp_native-scalar-double-67108864,cpp_native,scalar,double,67108864,32,0141247369
2,r02-o023-rust_unroll-u2-float-32768,rust_unroll,u2,float,32768,65536,0146437133
2,r02-o024-clangpp-scalar-short-8388608,clangpp,scalar,short,8388608,256,0149932798
2,r02-o025-cpp-scalar-int-1048576,cpp,scalar,int,1048576,2048,0154027529
2,r02-o026-rust_unroll-u1-float-32768,rust_unroll,u1,float,32768,65536,0159514898
2,r02-o027-cpp_native-scalar-float-262144,cpp_native,scalar,float,262144,8192,0161594673
2,r02-o028-rust-avx2-string16-32768,rust,avx2,string16,32768,65536,0172068634
2,r02-o029-go-scalar-int-8388608,go,scalar,int,8388608,256,0190818196
2,r02-o030-cpp-avx2-float-67108864,cpp,avx2,float,67108864,32,0198616190
2,r02-o031-rust-avx2-float-67108864,rust,avx2,float,67108864,32,0205432695
2,r02-o032-c-scalar-string16-8388608,c,scalar,string16,8388608,256,0215055359
2,r02-o033-c-avx2-double-8388608,c,avx2,double,8388608,256,0215975511
2,r02-o034-clangpp-scalar-int-32768,clangpp,scalar,int,32768,65536,0217820716
2,r02-o035-rust_unroll-u8-float-67108864,rust_unroll,u8,float,67108864,32,0250323328
2,r02-o036-c-avx2-short-262144,c,avx2,short,262144,8192,0250902719
2,r02-o037-rust-avx2-float-262144,rust,avx2,float,262144,8192,0254566126
