variant,implementation,value_type,footprint_bytes,repetitions,median_cycles_per_element,p10_cycles_per_element,p90_cycles_per_element,median_instructions_per_element,p10_instructions_per_element,p90_instructions_per_element,median_ref_cycles_per_element
cpp,scalar,float,1048576,15,3.000620000,3.000470000,3.000830000,4.000030000,4.000030000,4.000030000,3.000620000
cpp,scalar,float,8388608,15,3.098550000,3.080520000,3.114090000,4.000000000,4.000000000,4.000000000,3.098550000
cpp,scalar,float,67108864,15,3.129840000,3.129330000,3.131370000,4.000000000,4.000000000,4.000000000,3.129840000
cpp,scalar,int,32768,15,1.274580000,1.273860000,1.277630000,4.000610000,4.000610000,4.000610000,1.274580000
cpp,scalar,int,262144,15,1.290790000,1.289000000,1.291850000,4.000080000,4.000080000,4.000080000,1.290790000
cpp,scalar,int,1048576,15,1.301810000,1.301200000,1.302370000,4.000020000,4.000020000,4.000020000,1.301810000
cpp,scalar,int,8388608,15,1.427140000,1.424130000,1.439040000,4.000000000,4.000000000,4.000000000,1.427140000
cpp,scalar,int,67108864,15,1.464230000,1.463830000,1.469540000,4.000000000,4.000000000,4.000000000,1.464230000
cpp,scalar,short,32768,15,1.275730000,1.274010000,1.285790000,4.000310000,4.000310000,4.000310000,1.275730000
cpp,scalar,short,262144,15,1.295270000,1.294740000,1.295710000,4.000040000,4.000040000,4.000040000,1.295270000
cpp,scalar,short,1048576,15,1.300400000,1.300230000,1.300640000,4.000010000,4.000010000,4.000010000,1.300400000
cpp,scalar,short,8388608,15,1.361450000,1.358850000,1.372770000,4.000000000,4.000000000,4.000000000,1.361450000
cpp,scalar,short,67108864,15,1.379110000,1.378390000,1.380340000,4.000000000,4.000000000,4.000000000,1.379110000
cpp,scalar,string16,32768,15,15.008900000,15.002800000,15.016700000,36.003900000,36.003900000,36.003900000,15.008900000
cpp,scalar,string16,262144,15,15.005700000,15.004500000,15.007900000,36.000500000,36.000500000,36.000500000,15.005700000
cpp,scalar,string16,1048576,15,15.037800000,15.036500000,15.044000000,36.000100000,36.000100000,36.000100000,15.037800000
cpp,scalar,string16,8388608,15,15.503400000,15.449000000,15.561500000,36.000000000,36.000000000,36.000000000,15.503400000
cpp,scalar,string16,67108864,15,15.617900000,15.610600000,15.702600000,36.000000000,36.000000000,36.000000000,15.617900000
cpp_native,scalar,double,32768,15,3.000210000,3.000090000,3.001620000,2.502440000,2.502440000,2.502440000,3.000210000
cpp_native,scalar,double,262144,15,3.000140000,3.000060000,3.000220000,2.500310000,2.500310000,2.500310000,3.000140000
cpp_native,scalar,double,1048576,15,3.000620000,3.000410000,3.002890000,2.500080000,2.500080000,2.500080000,3.000620000
cpp_native,scalar,double,8388608,15,3.128570000,3.122930000,3.145950000,2.500010000,2.500010000,2.500010000,3.128570000
cpp_native,scalar,double,67108864,15,3.178460000,3.176760000,3.180420000,2.500000000,2.500000000,2.500000000,3.178460000
cpp_native,scalar,float,32768,15,3.000380000,3.000110000,3.006720000,2.501220000,2.501220000,2.501220000,3.000380000
cpp_native,scalar,float,262144,15,3.000140000,3.000100000,3.000360000,2.500150000,2.500150000,2.500150000,3.000140000
cpp_native,scalar,float,1048576,15,3.000260000,3.000120000,3.000460000,2.500040000,2.500040000,2.500040000,3.000260000
cpp_native,scalar,float,8388608,15,3.048170000,3.046120000,3.089770000,2.500010000,2.500010000,2.500010000,3.048170000
cpp_native,scalar,float,67108864,15,3.081680000,3.079310000,3.082610000,2.500000000,2.500000000,2.500000000,3.081680000
cpp_native,scalar,int,32768,15,1.275530000,1.274830000,1.276940000,4.000850000,4.000860000,4.000850000,1.275530000
cpp_native,scalar,int,262144,15,1.296190000,1.294910000,1.297830000,4.000110000,4.000110000,4.000110000,1.296190000
cpp_native,scalar,int,1048576,15,1.306540000,1.305830000,1.307400000,4.000030000,4.000030000,4.000030000,1.306540000
cpp_native,scalar,int,8388608,15,1.429870000,1.427490000,1.497090000,4.000000000,4.000000000,4.000000000,1.429870000
cpp_native,scalar,int,67108864,15,1.465350000,1.464140000,1.470070000,4.000000000,4.000000000,4.000000000,1.465350000
cpp_native,scalar,short,32768,15,1.275620000,1.274770000,1.277160000,4.000430000,4.000430000,4.000430000,1.275620000
cpp_native,scalar,short,262144,15,1.295640000,1.295290000,1.296070000,4.000050000,4.000050000,4.000050000,1.295640000
cpp_native,scalar,short,1048576,15,1.300710000,1.300450000,1.300910000,4.000010000,4.000010000,4.000010000,1.300710000
cpp_native,scalar,short,8388608,15,1.365380000,1.355540000,1.372020000,4.000000000,4.000000000,4.000000000,1.365380000
cpp_native,scalar,short,67108864,15,1.379640000,1.378610000,1.380680000,4.000000000,4.000000000,4.000000000,1.379640000
cpp_native,scalar,string16,32768,15,9.097360000,9.094950000,9.161260000,35.003400000,35.003400000,35.003400000,9.097360000
cpp_native,scalar,string16,262144,15,10.909600000,10.877000000,10.933300000,35.000400000,35.000400000,35.000400000,10.909600000
