sample_id,event,value,unit,time_enabled,time_running
r01-o041-clangpp-scalar-string16-32768,ref-cycles,1219286728,count,555533048,555533048
r01-o042-cpp_unroll-u2-float-1048576,cycles,1610687626,count,733881275,733881275
r01-o042-cpp_unroll-u2-float-1048576,instructions,1610633492,count,733881275,733881275
r01-o042-cpp_unroll-u2-float-1048576,ref-cycles,1610687628,count,733881275,733881275
r01-o043-cpp-avx2-int-32768,cycles,79521728,count,36255899,36255899
r01-o043-cpp-avx2-int-32768,instructions,270205297,count,36255899,36255899
r01-o043-cpp-avx2-int-32768,ref-cycles,79521750,count,36255899,36255899
r01-o044-cpp-avx2-double-8388608,cycles,314253320,count,143213673,143213673
r01-o044-cpp-avx2-double-8388608,instructions,268441217,count,143213673,143213673
r01-o044-cpp-avx2-double-8388608,ref-cycles,314253280,count,143213673,143213673
r01-o045-rust_unroll-u8-float-8388608,cycles,1658535351,count,755686061,755686061
r01-o045-rust_unroll-u8-float-8388608,instructions,2415921690,count,755686061,755686061
r01-o045-rust_unroll-u8-float-8388608,ref-cycles,1658535340,count,755686061,755686061
r01-o046-cpp_unroll-u2-double-1048576,cycles,805381844,count,366958855,366958855
r01-o046-cpp_unroll-u2-double-1048576,instructions,671107356,count,366958855,366958855
r01-o046-cpp_unroll-u2-double-1048576,ref-cycles,805381830,count,366958855,366958855
r01-o047-go-scalar-int-8388608,cycles,908880273,count,415818820,415818820
r01-o047-go-scalar-int-8388608,instructions,2684792565,count,415818820,415818820
r01-o047-go-scalar-int-8388608,ref-cycles,908880148,count,415818820,415818820
r01-o048-cpp-scalar-int-8388608,cycles,778670396,count,354794347,354794347
r01-o048-cpp-scalar-int-8388608,instructions,2147485257,count,354794347,354794347
r01-o048-cpp-scalar-int-8388608,ref-cycles,778670376,count,354794347,354794347
r01-o049-go-scalar-int-67108864,cycles,928509632,count,424302390,424302390
r01-o049-go-scalar-int-67108864,instructions,2684389505,count,424302390,424302390
r01-o049-go-scalar-int-67108864,ref-cycles,928509670,count,424302390,424302390
r01-o050-go-scalar-short-32768,cycles,1534105288,count,700290071,700290071
r01-o050-go-scalar-short-32768,instructions,5369290744,count,700290071,700290071
r01-o050-go-scalar-short-32768,ref-cycles,1534106354,count,700290071,700290071
r01-o051-cpp-avx2-double-32768,cycles,198188560,count,90325933,90325933
r01-o051-cpp-avx2-double-32768,instructions,269812097,count,90325933,90325933
r01-o051-cpp-avx2-double-32768,ref-cycles,198188584,count,90325933,90325933
r01-o052-cpp_native-scalar-float-1048576,cycles,1610624228,count,733846793,733846793
r01-o052-cpp_native-scalar-float-1048576,instructions,1342198035,count,733846793,733846793
r01-o052-cpp_native-scalar-float-1048576,ref-cycles,1610624246,count,733846793,733846793
r01-o053-cpp_unroll-u8-double-262144,cycles,805314564,count,366947801,366947801
r01-o053-cpp_unroll-u8-double-262144,instructions,369172766,count,366947801,366947801
r01-o053-cpp_unroll-u8-double-262144,ref-cycles,805314598,count,366947801,366947801
r01-o054-cpp_unroll-u8-float-8388608,cycles,1627152529,count,741362175,741362175
r01-o054-cpp_unroll-u8-float-8388608,instructions,872418322,count,741362175,741362175
r01-o054-cpp_unroll-u8-float-8388608,ref-cycles,1627152516,count,741362175,741362175
r01-o055-rust-scalar-short-262144,cycles,1388913945,count,632839097,632839097
r01-o055-rust-scalar-short-262144,instructions,4295008542,count,632839097,632839097
r01-o055-rust-scalar-short-262144,ref-cycles,1388913966,count,632839097,632839097
r01-o056-rust-scalar-double-1048576,cycles,805531457,count,367024802,367024802
r01-o056-rust-scalar-double-1048576,instructions,1073752347,count,367024802,367024802
r01-o056-rust-scalar-double-1048576,ref-cycles,805531474,count,367024802,367024802
r01-o057-cpp-scalar-short-1048576,cycles,1396351219,count,636226337,636226337
r01-o057-cpp-scalar-short-1048576,instructions,4294977840,count,636226337,636226337
r01-o057-cpp-scalar-short-1048576,ref-cycles,1396351198,count,636226337,636226337
r01-o058-rust-avx2-float-32768,cycles,199086932,count,90735940,90735940
r01-o058-rust-avx2-float-32768,instructions,404291864,count,90735940,90735940
r01-o058-rust-avx2-float-32768,ref-cycles,199086954,count,90735940,90735940
r01-o059-clangpp-scalar-int-1048576,cycles,543923787,count,247834771,247834771
r01-o059-clangpp-scalar-int-1048576,instructions,738217095,count,247834771,247834771
r01-o059-clangpp-scalar-int-1048576,ref-cycles,543923776,count,247834771,247834771
r01-o060-rust-scalar-string16-67108864,cycles,1564466163,count,712830186,712830186
r01-o060-rust-scalar-string16-67108864,instructions,4697621016,count,712830186,712830186
r01-o060-rust-scalar-string16-67108864,ref-cycles,1564466222,count,712830186,712830186
r01-o061-rust-avx2-short-32768,cycles,137540422,count,62690620,62690620
r01-o061-rust-avx2-short-32768,instructions,405471512,count,62690620,62690620
r01-o061-rust-avx2-short-32768,ref-cycles,137540436,count,62690620,62690620
r01-o062-cpp_native-scalar-int-262144,cycles,696740056,count,317462355,317462355
r01-o062-cpp_native-scalar-int-262144,instructions,2147541264,count,317462355,317462355
