sample_id,round,language,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r03-o18-go-32768,3,go,32768,65536,33554432,27130348,33554432,33554432,57935355,235410382,57935878,26834020,26834020,true
r03-o19-cpp-8388608,3,cpp,8388608,256,33554432,111943356,33554432,33554432,245710956,134219292,245710938,111975749,111975749,1
r03-o20-c-6291456,3,c,6291456,342,33619968,91597274,50397184,50397184,201052328,134481854,201052324,91627643,91627643,1
r03-o21-c-8388608,3,c,8388608,256,33554432,110809607,33554432,33554432,243221598,134219280,243221638,110839413,110839413,1
r03-o22-go-36864,3,go,36864,58255,33554880,39473364,3284255168,3284255168,84980690,235357040,84981028,39163667,39163667,true
r03-o23-cpp-32768,3,cpp,32768,65536,33554432,20435972,33554432,33554432,44858608,134545692,44858638,20459366,20459366,1
r03-o24-rust-1048576,3,rust,1048576,2048,33554432,72420834,33554432,33554432,158961395,134223643,158961418,72446029,72446029,1
r03-o25-c-1048576,3,c,1048576,2048,33554432,72288443,33554432,33554432,158670595,134228240,158670578,72313481,72313481,1
r03-o26-go-536870912,3,go,536870912,4,33554432,155810079,33554432,33554432,340580532,234896951,340580548,155565138,155565138,true
r03-o27-go-1048576,3,go,1048576,2048,33554432,76346533,33554432,33554432,165435277,234907502,165435248,75939006,75939006,true
r03-o28-rust-262144,3,rust,262144,8192,33554432,60796740,33554432,33554432,133447236,134240539,133447248,60821155,60821155,1
r04-o01-go-536870912,4,go,536870912,4,33554432,156364606,33554432,33554432,340815162,234897008,340814892,156117356,156117356,true
r04-o02-go-1048576,4,go,1048576,2048,33554432,76344449,33554432,33554432,165481139,234907237,165481074,75956361,75956361,true
r04-o03-cpp-32768,4,cpp,32768,65536,33554432,20401297,33554432,33554432,44782778,134545692,44782760,20426079,20426079,1
r04-o04-go-32768,4,go,32768,65536,33554432,27055667,33554432,33554432,57768782,235410335,57769316,26757264,26757264,true
r04-o05-c-1048576,4,c,1048576,2048,33554432,72407704,33554432,33554432,158932487,134228240,158932466,72433399,72433399,1
r04-o06-rust-262144,4,rust,262144,8192,33554432,57219143,33554432,33554432,125594798,134240539,125594832,57244703,57244703,1
r04-o07-c-536870912,4,c,536870912,4,33554432,158149001,33554432,33554432,347128461,134218020,347128452,158181356,158181356,1
r04-o08-cpp-36864,4,cpp,36864,58255,33554880,38539112,3284255168,3284255168,84593605,134511079,84593586,38564318,38564318,1
r04-o09-cpp-6291456,4,cpp,6291456,342,33619968,92109807,50397184,50397184,202177304,134481866,202177338,92138637,92138637,1
r04-o10-cpp-262144,4,cpp,262144,8192,33554432,61641518,33554432,33554432,135301360,134258972,135301386,61667662,61667662,1
r04-o11-go-8388608,4,go,8388608,256,33554432,117247791,33554432,33554432,255721439,235295171,255721224,117034064,117034064,true
r04-o12-cpp-536870912,4,cpp,536870912,4,33554432,157885081,33554432,33554432,346549584,134218032,346549610,157920304,157920304,1
r04-o13-c-262144,4,c,262144,8192,33554432,46459867,33554432,33554432,101979061,134258960,101979020,46488070,46488070,1
