sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r03-o21-gcc13_scalar-8388608,3,gcc13_scalar,8388608,160,335544320,2522198731,2634976128,2634976128,5536021046,1677722684,5536021062,2522231645,2522231645,1
r03-o22-clang18_auto-36864,3,clang18_auto,36864,36409,335545344,277857655,3368420452,3368420452,609880054,787309367,609880062,277885582,277885582,1
r03-o23-gcc13_auto-32768,3,gcc13_auto,32768,40960,335544320,252007224,3633848320,3633848320,553138412,965304624,553138410,252034460,252034460,1
r03-o24-clang18_scalar-1048576,3,clang18_scalar,1048576,1280,335544320,734310748,2000108288,2000108288,1611757545,796930436,1611757554,734339425,734339425,1
r03-o25-gcc13_scalar-1048576,3,gcc13_scalar,1048576,1280,335544320,768569904,2000108288,2000108288,1686950717,1677728284,1686950738,768598378,768598378,1
r03-o26-clang18_auto-536870912,3,clang18_auto,536870912,3,402653184,10503273722,1543198232,1543198232,23053820218,943719623,23053820196,10503308793,10503308793,1
r03-o27-clang18_auto-1048576,3,clang18_auto,1048576,1280,335544320,711689252,2000108288,2000108288,1561549066,786463878,1561549066,711517376,711517376,1
r03-o28-clang18_scalar-262144,3,clang18_scalar,262144,5120,335544320,458467553,1812397056,1812397056,1006303689,796964996,1006303694,458495925,458495925,1
r04-o01-clang18_auto-536870912,4,clang18_auto,536870912,3,402653184,10515641873,1543198232,1543198232,23080967405,943719623,23080967404,10515678767,10515678767,1
r04-o02-clang18_auto-1048576,4,clang18_auto,1048576,1280,335544320,710345511,2000108288,2000108288,1559155027,786463871,1559155004,710375078,710375078,1
r04-o03-gcc13_auto-32768,4,gcc13_auto,32768,40960,335544320,251985177,3633848320,3633848320,553090021,965304624,553090032,252012705,252012705,1
r04-o04-clang18_auto-32768,4,clang18_auto,32768,40960,335544320,266632197,3633848320,3633848320,585241311,787416191,585241338,266660467,266660467,1
r04-o05-gcc13_scalar-1048576,4,gcc13_scalar,1048576,1280,335544320,778354648,2000108288,2000108288,1708428026,1677728284,1708428018,778385186,778385186,1
r04-o06-clang18_scalar-262144,4,clang18_scalar,262144,5120,335544320,469648011,1812397056,1812397056,1030843848,796964996,1030843836,469676616,469676616,1
r04-o07-gcc13_scalar-536870912,4,gcc13_scalar,536870912,3,402653184,10533412137,1543198232,1543198232,23119926501,2013266221,23119926500,10533445191,10533445191,1
r04-o08-gcc13_auto-36864,4,gcc13_auto,36864,36409,335545344,263512876,3368420452,3368420452,578392223,965239303,578392210,263539037,263539037,1
r04-o09-gcc13_auto-6291456,4,gcc13_auto,6291456,214,336592896,1848290071,196891892,196891892,4056816060,967708093,4056816104,1848326303,1848326303,1
r04-o10-gcc13_auto-262144,4,gcc13_auto,262144,5120,335544320,434617810,1812397056,1812397056,953953604,964767024,953953616,434644697,434644697,1
