round,sample_id,compiler,footprint_bytes,passes,target_operations,shuffle_key
5,r05-o07-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,0423590155
5,r05-o08-clang18_auto-8388608,clang18_auto,8388608,62,8000000,0635781509
5,r05-o09-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0656636183
5,r05-o10-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,0671560594
5,r05-o11-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,0843391425
5,r05-o12-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,0928568918
5,r05-o13-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,0975744664
5,r05-o14-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1113706390
5,r05-o15-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,1117584840
5,r05-o16-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,1140260309
5,r05-o17-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1196564745
5,r05-o18-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1449177558
5,r05-o19-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1499503129
5,r05-o20-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,1499979996
5,r05-o21-clang18_auto-262144,clang18_auto,262144,9766,40000000,1559329940
5,r05-o22-clang18_auto-32768,clang18_auto,32768,195313,100000000,1579217824
5,r05-o23-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,1763016339
5,r05-o24-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,1774043520
5,r05-o25-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,1783297620
5,r05-o26-clang18_auto-36864,clang18_auto,36864,173612,100000000,1796846148
5,r05-o27-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,1824908672
5,r05-o28-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,2079736553
6,r06-o01-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,0030105199
6,r06-o02-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0066524306
6,r06-o03-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,0151496845
6,r06-o04-clang18_auto-8388608,clang18_auto,8388608,62,8000000,0428857896
6,r06-o05-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0496934885
6,r06-o06-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,0628216666
6,r06-o07-clang18_auto-32768,clang18_auto,32768,195313,100000000,0628820631
6,r06-o08-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,0664687643
6,r06-o09-clang18_auto-6291456,clang18_auto,6291456,102,10000000,0670587639
6,r06-o10-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0699829788
6,r06-o11-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,0706722661
6,r06-o12-clang18_auto-536870912,clang18_auto,536870912,1,4000000,0722386960
6,r06-o13-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,0914910938
6,r06-o14-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0921717735
6,r06-o15-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,1176749250
6,r06-o16-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1266812303
6,r06-o17-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1431836536
6,r06-o18-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,1509115557
6,r06-o19-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,1565929238
6,r06-o20-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,1567734208
6,r06-o21-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1621914610
6,r06-o22-clang18_auto-262144,clang18_auto,262144,9766,40000000,1724262060
6,r06-o23-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,1731529073
6,r06-o24-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1804624383
6,r06-o25-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1830191481
6,r06-o26-clang18_auto-36864,clang18_auto,36864,173612,100000000,1840840392
6,r06-o27-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,1920583600
6,r06-o28-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,1990709065
7,r07-o01-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,0070918144
7,r07-o02-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0200795706
7,r07-o03-clang18_auto-8388608,clang18_auto,8388608,62,8000000,0221934283
7,r07-o04-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,0399192925
7,r07-o05-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,0400806368
7,r07-o06-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,0413041907
7,r07-o07-gcc13_auto-32768,gcc13_auto,32768,195313,100000000,0553423244
7,r07-o08-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,0625568665
7,r07-o09-clang18_scalar-8388608,clang18_scalar,8388608,62,8000000,0644013905
7,r07-o10-gcc13_auto-262144,gcc13_auto,262144,9766,40000000,0707714049
7,r07-o11-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0743023393
7,r07-o12-clang18_auto-1048576,clang18_auto,1048576,1221,20000000,1015825415
7,r07-o13-clang18_auto-536870912,clang18_auto,536870912,1,4000000,1057467748
7,r07-o14-clang18_auto-6291456,clang18_auto,6291456,102,10000000,1189061790
7,r07-o15-gcc13_scalar-36864,gcc13_scalar,36864,173612,100000000,1337059861
7,r07-o16-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,1341343457
7,r07-o17-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,1357814956
7,r07-o18-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,1358055797
7,r07-o19-gcc13_scalar-8388608,gcc13_scalar,8388608,62,8000000,1406231721
7,r07-o20-gcc13_scalar-6291456,gcc13_scalar,6291456,102,10000000,1414495514
7,r07-o21-clang18_scalar-32768,clang18_scalar,32768,195313,100000000,1744326091
7,r07-o22-clang18_auto-32768,clang18_auto,32768,195313,100000000,1825907085
7,r07-o23-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,1842320117
7,r07-o24-clang18_auto-36864,clang18_auto,36864,173612,100000000,1884834636
7,r07-o25-clang18_auto-262144,clang18_auto,262144,9766,40000000,1889194180
7,r07-o26-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,1937155515
7,r07-o27-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,2017883576
7,r07-o28-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,2042486450
8,r08-o01-clang18_auto-8388608,clang18_auto,8388608,62,8000000,0015010670
8,r08-o02-gcc13_auto-536870912,gcc13_auto,536870912,1,4000000,0071693062
8,r08-o03-gcc13_auto-8388608,gcc13_auto,8388608,62,8000000,0136925093
8,r08-o04-gcc13_scalar-262144,gcc13_scalar,262144,9766,40000000,0197867148
8,r08-o05-gcc13_auto-1048576,gcc13_auto,1048576,1221,20000000,0298610870
8,r08-o06-gcc13_auto-6291456,gcc13_auto,6291456,102,10000000,0320549297
8,r08-o07-clang18_scalar-1048576,clang18_scalar,1048576,1221,20000000,0335067106
8,r08-o08-clang18_scalar-262144,clang18_scalar,262144,9766,40000000,0428373696
8,r08-o09-gcc13_scalar-32768,gcc13_scalar,32768,195313,100000000,0550078133
8,r08-o10-clang18_scalar-6291456,clang18_scalar,6291456,102,10000000,0615438852
8,r08-o11-gcc13_auto-36864,gcc13_auto,36864,173612,100000000,0786216998
8,r08-o12-clang18_auto-32768,clang18_auto,32768,195313,100000000,0875509892
8,r08-o13-gcc13_scalar-536870912,gcc13_scalar,536870912,1,4000000,0878062531
8,r08-o14-clang18_scalar-536870912,clang18_scalar,536870912,1,4000000,1099640485
8,r08-o15-gcc13_scalar-1048576,gcc13_scalar,1048576,1221,20000000,1115678016
8,r08-o16-clang18_scalar-36864,clang18_scalar,36864,173612,100000000,1149700674
