sample_id,round,compiler,footprint_bytes,passes,operations,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r02-o22-gcc13_auto-262144,2,gcc13_auto,262144,9766,40001536,559693882,85449381942251735,85449381942251735,1228485356,360014107,1228485368,559721174,559721174,1
r02-o23-clang18_auto-1048576,2,clang18_auto,1048576,1221,20004864,393233517,43098968983893989,43098968983893989,863120377,87522368,863120390,393262283,393262283,1
r02-o24-clang18_auto-36864,2,clang18_auto,36864,173612,100000512,621171479,220423592280896003,220423592280896003,1363425231,437503328,1363425250,621199557,621199557,1
r02-o25-clang18_scalar-1048576,2,clang18_scalar,1048576,1221,20004864,392090582,43098968983893989,43098968983893989,860611775,87522369,860611752,392119826,392119826,1
r02-o26-gcc13_auto-8388608,2,gcc13_auto,8388608,62,8126464,485419852,17444193244271551,17444193244271551,1065460615,73138459,1065460594,485449603,485449603,1
r02-o27-clang18_scalar-8388608,2,clang18_scalar,8388608,62,8126464,429152714,17444193244271551,17444193244271551,941961024,35554369,941961020,429184538,429184538,1
r02-o28-gcc13_auto-6291456,2,gcc13_auto,6291456,102,10027008,428706591,21543721854647272,21543721854647272,940979411,90243355,940979424,428736165,428736165,1
r03-o01-clang18_scalar-36864,3,clang18_scalar,36864,173612,100000512,621662288,220423592280896003,220423592280896003,1364502811,437503329,1364502810,621689270,621689270,1
r03-o02-gcc13_auto-536870912,3,gcc13_auto,536870912,1,8388608,842792097,18017347997925624,18017347997925624,1849863819,75497755,1849863840,842827004,842827004,1
r03-o03-gcc13_auto-262144,3,gcc13_auto,262144,9766,40001536,477906334,85449381942251735,85449381942251735,1048968584,360014107,1048968602,477934402,477934402,1
r03-o04-gcc13_auto-6291456,3,gcc13_auto,6291456,102,10027008,603248370,21543721854647272,21543721854647272,1324084286,90243355,1324084300,603278097,603278097,1
r03-o05-clang18_scalar-6291456,3,clang18_scalar,6291456,102,10027008,570821460,21543721854647272,21543721854647272,1252912306,43869249,1252912298,570854207,570854207,1
r03-o06-gcc13_auto-36864,3,gcc13_auto,36864,173612,100000512,1002353608,220423592280896003,220423592280896003,2200087111,900004891,2200087098,1002380862,1002380862,1
r03-o07-clang18_scalar-8388608,3,clang18_scalar,8388608,62,8126464,464456689,17444193244271551,17444193244271551,1019450357,35554369,1019450366,464489748,464489748,1
r03-o08-clang18_scalar-536870912,3,clang18_scalar,536870912,1,8388608,836191380,18017347997925624,18017347997925624,1835378011,36701249,1835378028,836227513,836227513,1
r03-o09-gcc13_scalar-32768,3,gcc13_scalar,32768,195313,100000256,365008781,223978264113942993,223978264113942993,801167546,900002587,801167576,365035175,365035175,1
r03-o10-gcc13_scalar-536870912,3,gcc13_scalar,536870912,1,8388608,847920717,18017347997925624,18017347997925624,1861120394,75497755,1861120382,847955043,847955043,1
r03-o11-clang18_auto-8388608,3,clang18_auto,8388608,62,8126464,533600790,17444193244271551,17444193244271551,1171216568,35554368,1171216574,533634538,533634538,1
r03-o12-gcc13_scalar-36864,3,gcc13_scalar,36864,173612,100000512,1002349502,220423592280896003,220423592280896003,2200077449,900004891,2200077462,1002376669,1002376669,1
r03-o13-clang18_auto-262144,3,clang18_auto,262144,9766,40001536,542249190,85449381942251735,85449381942251735,1190197483,175007808,1190197492,542277265,542277265,1
r03-o14-clang18_scalar-32768,3,clang18_scalar,32768,195313,100000256,288043236,223978264113942993,223978264113942993,632236215,437502209,632236198,288070968,288070968,1
r03-o15-clang18_auto-6291456,3,clang18_auto,6291456,102,10027008,595912699,21543721854647272,21543721854647272,1307984637,43869248,1307984634,595943210,595943210,1
r03-o16-gcc13_scalar-262144,3,gcc13_scalar,262144,9766,40001536,471815378,85449381942251735,85449381942251735,1035599206,360014107,1035599202,471842170,471842170,1
r03-o17-gcc13_auto-1048576,3,gcc13_auto,1048576,1221,20004864,432428036,43098968983893989,43098968983893989,949147325,180044059,949147342,432455066,432455066,1
r03-o18-clang18_auto-32768,3,clang18_auto,32768,195313,100000256,286328408,223978264113942993,223978264113942993,628472366,437502208,628472372,286355322,286355322,1
r03-o19-gcc13_auto-8388608,3,gcc13_auto,8388608,62,8126464,601095507,17444193244271551,17444193244271551,1319358772,73138459,1319358788,601126218,601126218,1
r03-o20-gcc13_scalar-6291456,3,gcc13_scalar,6291456,102,10027008,642282391,21543721854647272,21543721854647272,1409760097,90243355,1409760110,642312285,642312285,1
r03-o21-gcc13_scalar-8388608,3,gcc13_scalar,8388608,62,8126464,481957576,17444193244271551,17444193244271551,1057861324,73138459,1057861310,481989904,481989904,1
r03-o22-clang18_auto-36864,3,clang18_auto,36864,173612,100000512,620932461,220423592280896003,220423592280896003,1362900938,437503328,1362900924,620960941,620960941,1
r03-o23-gcc13_auto-32768,3,gcc13_auto,32768,195313,100000256,366596501,223978264113942993,223978264113942993,804652725,900002587,804652706,366623731,366623731,1
r03-o24-clang18_scalar-1048576,3,clang18_scalar,1048576,1221,20004864,395190249,43098968983893989,43098968983893989,867415445,87522369,867415428,395218351,395218351,1
r03-o25-gcc13_scalar-1048576,3,gcc13_scalar,1048576,1221,20004864,434477103,43098968983893989,43098968983893989,953644915,180044059,953644912,434503972,434503972,1
r03-o26-clang18_auto-536870912,3,clang18_auto,536870912,1,8388608,833862584,18017347997925624,18017347997925624,1830265767,36701248,1830265756,833897741,833897741,1
r03-o27-clang18_auto-1048576,3,clang18_auto,1048576,1221,20004864,394649651,43098968983893989,43098968983893989,866229471,87522368,866229452,394677539,394677539,1
r03-o28-clang18_scalar-262144,3,clang18_scalar,262144,9766,40001536,522357901,85449381942251735,85449381942251735,1146537266,175007809,1146537282,522385026,522385026,1
r04-o01-clang18_auto-536870912,4,clang18_auto,536870912,1,8388608,825980111,18017347997925624,18017347997925624,1812965744,36701248,1812965770,826014273,826014273,1
r04-o02-clang18_auto-1048576,4,clang18_auto,1048576,1221,20004864,394543238,43098968983893989,43098968983893989,865995366,87522368,865995372,394573309,394573309,1
r04-o03-gcc13_auto-32768,4,gcc13_auto,32768,195313,100000256,364966630,223978264113942993,223978264113942993,801075216,900002587,801075220,364993658,364993658,1
r04-o04-clang18_auto-32768,4,clang18_auto,32768,195313,100000256,286979999,223978264113942993,223978264113942993,629902829,437502208,629902834,287007609,287007609,1
r04-o05-gcc13_scalar-1048576,4,gcc13_scalar,1048576,1221,20004864,436534806,43098968983893989,43098968983893989,958161598,180044059,958161600,436562758,436562758,1
r04-o06-clang18_scalar-262144,4,clang18_scalar,262144,9766,40001536,498209557,85449381942251735,85449381942251735,1093533468,175007809,1093533452,498237243,498237243,1
r04-o07-gcc13_scalar-536870912,4,gcc13_scalar,536870912,1,8388608,852410094,18017347997925624,18017347997925624,1870974021,75497755,1870974028,852442692,852442692,1
r04-o08-gcc13_auto-36864,4,gcc13_auto,36864,173612,100000512,1002345892,220423592280896003,220423592280896003,2200069577,900004891,2200069564,1002373482,1002373482,1
r04-o09-gcc13_auto-6291456,4,gcc13_auto,6291456,102,10027008,438132988,21543721854647272,21543721854647272,961669563,90243355,961669588,438162930,438162930,1
r04-o10-gcc13_auto-262144,4,gcc13_auto,262144,9766,40001536,465403861,85449381942251735,85449381942251735,1021526733,360014107,1021526726,465431478,465431478,1
r04-o11-clang18_auto-8388608,4,clang18_auto,8388608,62,8126464,490400721,17444193244271551,17444193244271551,1076395153,35554368,1076395144,490432841,490432841,1
r04-o12-gcc13_auto-536870912,4,gcc13_auto,536870912,1,8388608,844217202,18017347997925624,18017347997925624,1852992208,75497755,1852992196,844250916,844250916,1
r04-o13-gcc13_scalar-262144,4,gcc13_scalar,262144,9766,40001536,630862795,85449381942251735,85449381942251735,1384695160,360014107,1384695180,630890231,630890231,1
r04-o14-gcc13_scalar-36864,4,gcc13_scalar,36864,173612,100000512,1002347605,220423592280896003,220423592280896003,2200073611,900004891,2200073590,1002374225,1002374225,1
r04-o15-gcc13_auto-8388608,4,gcc13_auto,8388608,62,8126464,636737865,17444193244271551,17444193244271551,1397590849,73138459,1397590810,636767843,636767843,1
r04-o16-clang18_scalar-6291456,4,clang18_scalar,6291456,102,10027008,646571710,21543721854647272,21543721854647272,1419177882,43869249,1419177892,646605184,646605184,1
r04-o17-clang18_scalar-536870912,4,clang18_scalar,536870912,1,8388608,827321288,18017347997925624,18017347997925624,1815908344,36701249,1815908336,827354170,827354170,1
r04-o18-clang18_scalar-32768,4,clang18_scalar,32768,195313,100000256,287708619,223978264113942993,223978264113942993,631501888,437502209,631501904,287737878,287737878,1
r04-o19-clang18_auto-262144,4,clang18_auto,262144,9766,40001536,506439059,85449381942251735,85449381942251735,1111597017,175007808,1111597036,506466499,506466499,1
r04-o20-gcc13_scalar-6291456,4,gcc13_scalar,6291456,102,10027008,436705663,21543721854647272,21543721854647272,958536394,90243355,958536392,436735561,436735561,1
r04-o21-gcc13_auto-1048576,4,gcc13_auto,1048576,1221,20004864,435985677,43098968983893989,43098968983893989,956956115,180044059,956956110,436013624,436013624,1
r04-o22-clang18_auto-36864,4,clang18_auto,36864,173612,100000512,622594096,220423592280896003,220423592280896003,1366548081,437503328,1366548084,622621883,622621883,1
r04-o23-clang18_scalar-8388608,4,clang18_scalar,8388608,62,8126464,428843368,17444193244271551,17444193244271551,941281911,35554369,941281902,428874465,428874465,1
r04-o24-clang18_auto-6291456,4,clang18_auto,6291456,102,10027008,471529023,21543721854647272,21543721854647272,1034972959,43869248,1034972950,471560550,471560550,1
r04-o25-gcc13_scalar-32768,4,gcc13_scalar,32768,195313,100000256,365480158,223978264113942993,223978264113942993,802202175,900002587,802202126,365507258,365507258,1
r04-o26-clang18_scalar-1048576,4,clang18_scalar,1048576,1221,20004864,395202949,43098968983893989,43098968983893989,867443351,87522369,867443346,395231333,395231333,1
r04-o27-clang18_scalar-36864,4,clang18_scalar,36864,173612,100000512,621224370,220423592280896003,220423592280896003,1363541230,437503329,1363541234,621251805,621251805,1
r04-o28-gcc13_scalar-8388608,4,gcc13_scalar,8388608,62,8126464,451159081,17444193244271551,17444193244271551,990260656,73138459,990260678,451187909,451187909,1
r05-o01-clang18_scalar-6291456,5,clang18_scalar,6291456,102,10027008,436703225,21543721854647272,21543721854647272,958532851,43869249,958532828,436732851,436732851,1
r05-o02-gcc13_scalar-536870912,5,gcc13_scalar,536870912,1,8388608,855790779,18017347997925624,18017347997925624,1878394246,75497755,1878394254,855823530,855823530,1
r05-o03-clang18_auto-6291456,5,clang18_auto,6291456,102,10027008,606361139,21543721854647272,21543721854647272,1330919044,43869248,1330919062,606395203,606395203,1
r05-o04-clang18_auto-536870912,5,clang18_auto,536870912,1,8388608,837495298,18017347997925624,18017347997925624,1838240178,36701248,1838240184,837531176,837531176,1
r05-o05-clang18_auto-1048576,5,clang18_auto,1048576,1221,20004864,394934134,43098968983893989,43098968983893989,866853125,87522368,866853130,394963769,394963769,1
r05-o06-gcc13_scalar-32768,5,gcc13_scalar,32768,195313,100000256,365100197,223978264113942993,223978264113942993,801368225,900002587,801368216,365125766,365125766,1
r05-o07-gcc13_scalar-8388608,5,gcc13_scalar,8388608,62,8126464,482906396,17444193244271551,17444193244271551,1059943268,73138459,1059943302,482935923,482935923,1
r05-o08-clang18_auto-8388608,5,clang18_auto,8388608,62,8126464,520348007,17444193244271551,17444193244271551,1142126723,35554368,1142126700,520381067,520381067,1
r05-o09-gcc13_auto-36864,5,gcc13_auto,36864,173612,100000512,1002351327,220423592280896003,220423592280896003,2200081607,900004891,2200081598,1002378588,1002378588,1
r05-o10-clang18_scalar-8388608,5,clang18_scalar,8388608,62,8126464,449326345,17444193244271551,17444193244271551,986239537,35554369,986239496,449357086,449357086,1
r05-o11-gcc13_scalar-262144,5,gcc13_scalar,262144,9766,40001536,685867609,85449381942251735,85449381942251735,1505426107,360014107,1505426098,685895249,685895249,1
r05-o12-gcc13_auto-8388608,5,gcc13_auto,8388608,62,8126464,436754248,17444193244271551,17444193244271551,958643622,73138459,958643598,436784454,436784454,1
r05-o13-clang18_scalar-262144,5,clang18_scalar,262144,9766,40001536,376264460,85449381942251735,85449381942251735,825874276,175007809,825874302,376292164,376292164,1
r05-o14-gcc13_scalar-1048576,5,gcc13_scalar,1048576,1221,20004864,436137263,43098968983893989,43098968983893989,957288602,180044059,957288574,436163565,436163565,1
r05-o15-gcc13_auto-6291456,5,gcc13_auto,6291456,102,10027008,442577532,21543721854647272,21543721854647272,971424846,90243355,971424828,442607138,442607138,1
r05-o16-gcc13_auto-32768,5,gcc13_auto,32768,195313,100000256,366985465,223978264113942993,223978264113942993,805506540,900002587,805506526,367014076,367014076,1
r05-o17-gcc13_scalar-36864,5,gcc13_scalar,36864,173612,100000512,1002351251,220423592280896003,220423592280896003,2200081249,900004891,2200081268,1002377921,1002377921,1
